Bext,Bscat,Babs
0.010559741,0.003999661,0.00656008
0.0105436,0.004000023,0.006543576
0.010527362,0.004000267,0.006527096
0.010511033,0.004000394,0.006510639
0.010494615,0.004000407,0.006494209
0.010478113,0.004000307,0.006477806
0.01046153,0.004000096,0.006461433
0.01044487,0.003999777,0.006445092
0.010428137,0.003999352,0.006428785
0.010411335,0.003998822,0.006412512
0.010394467,0.00399819,0.006396277
0.010377537,0.003997457,0.00638008
0.010360549,0.003996625,0.006363923
0.010343506,0.003995697,0.006347809
0.010326412,0.003994674,0.006331737
0.01030927,0.003993559,0.006315711
0.010292085,0.003992353,0.006299732
0.010274858,0.003991057,0.006283801
0.010257595,0.003989675,0.00626792
0.010240297,0.003988208,0.006252089
0.01022297,0.003986658,0.006236312
0.010205615,0.003985026,0.006220589
0.010188236,0.003983315,0.006204921
0.010170836,0.003981526,0.00618931
0.010153419,0.003979661,0.006173757
0.010135987,0.003977723,0.006158264
0.010118543,0.003975712,0.006142831
0.010101091,0.003973631,0.00612746
0.010083634,0.003971481,0.006112153
0.010066174,0.003969265,0.006096909
0.010048714,0.003966983,0.006081731
0.010031257,0.003964638,0.006066619
0.010013806,0.003962231,0.006051574
0.009996363,0.003959765,0.006036598
0.009978931,0.00395724,0.006021691
0.009961513,0.003954659,0.006006855
0.009944111,0.003952022,0.005992089
0.009926727,0.003949332,0.005977395
0.009909365,0.003946591,0.005962774
0.009892025,0.003943799,0.005948226
0.009874711,0.003940959,0.005933752
0.009857425,0.003938072,0.005919354
0.009840169,0.003935139,0.00590503
0.009822945,0.003932162,0.005890783
0.009805755,0.003929143,0.005876611
0.0097886,0.003926083,0.005862517
0.009771484,0.003922983,0.005848501
0.009754408,0.003919846,0.005834562
0.009737373,0.003916671,0.005820701
0.009720381,0.003913462,0.005806919
0.009703434,0.003910218,0.005793216
0.009686534,0.003906942,0.005779592
0.009669681,0.003903635,0.005766047
0.009652879,0.003900297,0.005752581
0.009636127,0.003896932,0.005739195
0.009619428,0.003893538,0.005725889
0.009602782,0.003890119,0.005712662
0.009586191,0.003886675,0.005699515
0.009569655,0.003883207,0.005686448
0.009553177,0.003879717,0.00567346
0.009536757,0.003876206,0.005660552
0.009520397,0.003872674,0.005647723
0.009504096,0.003869123,0.005634973
0.009487856,0.003865554,0.005622302
0.009471677,0.003861968,0.005609709
0.009455562,0.003858367,0.005597195
0.009439509,0.00385475,0.005584758
0.009423519,0.00385112,0.0055724
0.009407595,0.003847477,0.005560118
0.009391734,0.003843821,0.005547913
0.009375939,0.003840155,0.005535784
0.00936021,0.003836479,0.005523731
0.009344546,0.003832793,0.005511753
0.009328949,0.003829099,0.00549985
0.009313418,0.003825397,0.005488021
0.009297954,0.003821689,0.005476265
0.009282556,0.003817974,0.005464582
0.009267225,0.003814255,0.005452971
0.009251961,0.00381053,0.005441431
0.009236764,0.003806802,0.005429962
0.009221633,0.003803071,0.005418562
0.009206569,0.003799337,0.005407232
0.009191571,0.003795601,0.005395969
0.009176639,0.003791865,0.005384774
0.009161772,0.003788127,0.005373645
0.009146972,0.003784389,0.005362582
0.009132236,0.003780652,0.005351584
0.009117565,0.003776916,0.005340649
0.009102958,0.003773181,0.005329777
0.009088415,0.003769448,0.005318967
0.009073935,0.003765717,0.005308218
0.009059517,0.003761989,0.005297528
0.009045162,0.003758264,0.005286897
0.009030868,0.003754543,0.005276325
0.009016634,0.003750826,0.005265808
0.009002461,0.003747112,0.005255348
0.008988346,0.003743404,0.005244942
0.00897429,0.0037397,0.00523459
0.008960291,0.003736001,0.00522429
0.008946349,0.003732307,0.005214042
0.008932463,0.003728618,0.005203844
0.008918631,0.003724936,0.005193695
0.008904854,0.003721259,0.005183595
0.008891129,0.003717588,0.005173541
0.008877456,0.003713923,0.005163533
0.008863835,0.003710265,0.00515357
0.008850263,0.003706613,0.005143651
0.008836741,0.003702967,0.005133774
0.008823266,0.003699328,0.005123938
0.008809838,0.003695695,0.005114143
0.008796455,0.003692068,0.005104387
0.008783117,0.003688448,0.005094669
0.008769823,0.003684835,0.005084988
0.00875657,0.003681228,0.005075342
0.008743359,0.003677627,0.005065732
0.008730188,0.003674033,0.005056155
0.008717056,0.003670445,0.005046611
0.008703961,0.003666863,0.005037098
0.008690903,0.003663287,0.005027616
0.008677879,0.003659716,0.005018163
0.00866489,0.003656152,0.005008738
0.008651934,0.003652593,0.004999341
0.00863901,0.00364904,0.00498997
0.008626115,0.003645491,0.004980624
0.008613251,0.003641948,0.004971303
0.008600414,0.003638409,0.004962005
0.008587604,0.003634875,0.004952729
0.008574819,0.003631345,0.004943474
0.00856206,0.003627819,0.00493424
0.008549323,0.003624297,0.004925026
0.008536609,0.003620779,0.00491583
0.008523916,0.003617264,0.004906652
0.008511242,0.003613752,0.00489749
0.008498587,0.003610242,0.004888345
0.00848595,0.003606735,0.004879215
0.008473329,0.00360323,0.0048701
0.008460724,0.003599726,0.004860998
0.008448133,0.003596225,0.004851908
0.008435555,0.003592724,0.004842831
0.008422989,0.003589224,0.004833766
0.008410435,0.003585724,0.004824711
0.00839789,0.003582224,0.004815666
0.008385355,0.003578724,0.00480663
0.008372827,0.003575224,0.004797603
0.008360307,0.003571723,0.004788584
0.008347793,0.00356822,0.004779573
0.008335284,0.003564715,0.004770569
0.00832278,0.003561209,0.004761571
0.008310279,0.0035577,0.004752579
0.00829778,0.003554188,0.004743592
0.008285284,0.003550673,0.004734611
0.008272789,0.003547155,0.004725633
0.008260293,0.003543633,0.00471666
0.008247797,0.003540107,0.004707691
0.0082353,0.003536576,0.004698725
0.008222801,0.00353304,0.004689762
0.0082103,0.003529499,0.004680801
0.008197795,0.003525952,0.004671843
0.008185286,0.003522399,0.004662887
0.008172772,0.00351884,0.004653932
0.008160254,0.003515274,0.004644979
0.00814773,0.003511702,0.004636028
0.008135199,0.003508122,0.004627078
0.008122662,0.003504534,0.004618129
0.008110118,0.003500938,0.00460918
0.008097567,0.003497334,0.004600233
0.008085008,0.003493721,0.004591286
0.00807244,0.0034901,0.00458234
0.008059864,0.003486469,0.004573394
0.008047278,0.003482829,0.004564449
0.008034684,0.003479179,0.004555505
0.00802208,0.003475519,0.004546561
0.008009466,0.003471848,0.004537618
0.007996843,0.003468167,0.004528675
0.007984209,0.003464475,0.004519734
0.007971565,0.003460773,0.004510793
0.007958911,0.003457058,0.004501853
0.007946247,0.003453332,0.004492914
0.007933572,0.003449595,0.004483977
0.007920886,0.003445845,0.004475041
0.00790819,0.003442083,0.004466107
0.007895484,0.003438309,0.004457174
0.007882767,0.003434523,0.004448244
0.007870039,0.003430723,0.004439316
0.007857302,0.003426911,0.004430391
0.007844554,0.003423085,0.004421469
0.007831796,0.003419247,0.00441255
0.007819029,0.003415395,0.004403634
0.007806252,0.00341153,0.004394722
0.007793465,0.003407651,0.004385814
0.00778067,0.003403758,0.004376911
0.007767865,0.003399852,0.004368013
0.007755052,0.003395932,0.00435912
0.00774223,0.003391998,0.004350233
0.007729401,0.00338805,0.004341351
0.007716564,0.003384088,0.004332476
0.00770372,0.003380112,0.004323608
0.007690869,0.003376121,0.004314747
0.007678011,0.003372117,0.004305894
0.007665148,0.003368099,0.004297049
0.007652279,0.003364066,0.004288213
0.007639405,0.00336002,0.004279385
0.007626526,0.003355959,0.004270567
0.007613643,0.003351884,0.004261759
0.007600757,0.003347795,0.004252962
0.007587868,0.003343692,0.004244176
0.007574976,0.003339576,0.0042354
0.007562082,0.003335445,0.004226637
0.007549187,0.003331301,0.004217887
0.007536291,0.003327143,0.004209149
0.007523395,0.003322971,0.004200424
0.007510499,0.003318786,0.004191714
0.007497605,0.003314587,0.004183017
0.007484712,0.003310376,0.004174336
0.007471821,0.003306151,0.00416567
0.007458933,0.003301913,0.00415702
0.007446049,0.003297662,0.004148387
0.007433169,0.003293399,0.00413977
0.007420294,0.003289123,0.004131171
0.007407425,0.003284835,0.00412259
0.007394562,0.003280535,0.004114027
0.007381706,0.003276223,0.004105483
0.007368857,0.003271899,0.004096958
0.007356017,0.003267564,0.004088453
0.007343186,0.003263217,0.004079969
0.007330365,0.003258859,0.004071505
0.007317554,0.00325449,0.004063063
0.007304754,0.003250111,0.004054643
0.007291966,0.003245721,0.004046245
0.007279191,0.003241321,0.004037869
0.007266428,0.003236911,0.004029517
0.00725368,0.003232492,0.004021188
0.007240947,0.003228063,0.004012884
0.007228229,0.003223625,0.004004604
0.007215527,0.003219178,0.003996349
0.007202841,0.003214722,0.003988119
0.007190173,0.003210258,0.003979915
0.007177524,0.003205786,0.003971737
0.007164893,0.003201307,0.003963586
0.007152281,0.00319682,0.003955462
0.00713969,0.003192326,0.003947365
0.00712712,0.003187825,0.003939295
0.007114571,0.003183317,0.003931254
0.007102044,0.003178803,0.003923241
0.007089541,0.003174283,0.003915257
0.00707706,0.003169758,0.003907302
0.007064604,0.003165228,0.003899376
0.007052172,0.003160692,0.00389148
0.007039766,0.003156152,0.003883614
0.007027386,0.003151607,0.003875778
0.007015032,0.003147059,0.003867973
0.007002706,0.003142507,0.003860199
0.006990407,0.003137951,0.003852455
0.006978136,0.003133393,0.003844743
0.006965894,0.003128832,0.003837063
0.006953682,0.003124268,0.003829414
0.0069415,0.003119703,0.003821797
0.006929348,0.003115135,0.003814213
0.006917227,0.003110567,0.00380666
0.006905138,0.003105997,0.003799141
0.00689308,0.003101427,0.003791654
0.006881055,0.003096856,0.003784199
0.006869063,0.003092285,0.003776778
0.006857105,0.003087715,0.00376939
0.00684518,0.003083145,0.003762035
0.006833289,0.003078576,0.003754713
0.006821434,0.003074009,0.003747425
0.006809613,0.003069443,0.00374017
0.006797827,0.003064879,0.003732949
0.006786078,0.003060317,0.003725761
0.006774364,0.003055758,0.003718607
0.006762688,0.003051201,0.003711487
0.006751048,0.003046648,0.0037044
0.006739445,0.003042098,0.003697347
0.00672788,0.003037552,0.003690327
0.006716352,0.00303301,0.003683342
0.006704863,0.003028473,0.00367639
0.006693411,0.00302394,0.003669471
0.006681999,0.003019412,0.003662586
0.006670625,0.00301489,0.003655735
0.00665929,0.003010373,0.003648917
0.006647995,0.003005862,0.003642132
0.006636738,0.003001357,0.003635381
0.006625522,0.002996859,0.003628663
0.006614345,0.002992367,0.003621977
0.006603208,0.002987883,0.003615325
0.00659211,0.002983405,0.003608705
0.006581053,0.002978935,0.003602118
0.006570037,0.002974473,0.003595564
0.00655906,0.002970019,0.003589041
0.006548124,0.002965573,0.003582551
0.006537228,0.002961135,0.003576093
0.006526373,0.002956706,0.003569667
0.006515558,0.002952287,0.003563272
0.006504784,0.002947876,0.003556908
0.00649405,0.002943475,0.003550575
0.006483357,0.002939083,0.003544274
0.006472704,0.002934701,0.003538003
0.006462092,0.002930329,0.003531762
0.00645152,0.002925968,0.003525552
0.006440988,0.002921617,0.003519371
0.006430497,0.002917276,0.00351322
0.006420046,0.002912947,0.003507099
0.006409634,0.002908628,0.003501007
0.006399263,0.00290432,0.003494943
0.006388932,0.002900024,0.003488908
0.00637864,0.002895739,0.003482901
0.006368388,0.002891466,0.003476922
0.006358175,0.002887205,0.00347097
0.006348001,0.002882955,0.003465046
0.006337867,0.002878718,0.003459149
0.006327771,0.002874493,0.003453278
0.006317714,0.00287028,0.003447434
0.006307695,0.002866079,0.003441616
0.006297714,0.002861891,0.003435823
0.006287772,0.002857716,0.003430056
0.006277867,0.002853553,0.003424313
0.006267999,0.002849404,0.003418596
0.006258169,0.002845267,0.003412902
0.006248376,0.002841143,0.003407232
0.006238619,0.002837032,0.003401586
0.006228898,0.002832935,0.003395963
0.006219214,0.002828851,0.003390363
0.006209566,0.00282478,0.003384786
0.006199952,0.002820722,0.00337923
0.006190374,0.002816678,0.003373697
0.006180831,0.002812647,0.003368184
0.006171323,0.00280863,0.003362693
0.006161848,0.002804626,0.003357222
0.006152408,0.002800635,0.003351772
0.006143,0.002796659,0.003346342
0.006133626,0.002792695,0.003340931
0.006124285,0.002788746,0.003335539
0.006114976,0.00278481,0.003330166
0.006105699,0.002780887,0.003324812
0.006096454,0.002776978,0.003319476
0.00608724,0.002773083,0.003314157
0.006078057,0.002769201,0.003308856
0.006068905,0.002765333,0.003303572
0.006059782,0.002761478,0.003298305
0.00605069,0.002757636,0.003293053
0.006041627,0.002753808,0.003287818
0.006032593,0.002749994,0.003282599
0.006023587,0.002746193,0.003277395
0.00601461,0.002742405,0.003272206
0.006005661,0.00273863,0.003267031
0.005996739,0.002734868,0.003261871
0.005987844,0.00273112,0.003256725
0.005978976,0.002727384,0.003251592
0.005970134,0.002723662,0.003246473
0.005961319,0.002719952,0.003241366
0.005952528,0.002716255,0.003236273
0.005943763,0.002712571,0.003231192
0.005935022,0.0027089,0.003226122
0.005926306,0.002705241,0.003221065
0.005917614,0.002701595,0.003216019
0.005908946,0.002697961,0.003210985
0.0059003,0.002694339,0.003205961
0.005891678,0.00269073,0.003200948
0.005883078,0.002687132,0.003195945
0.0058745,0.002683547,0.003190953
0.005865943,0.002679973,0.00318597
0.005857408,0.002676411,0.003180997
0.005848895,0.002672861,0.003176034
0.005840401,0.002669322,0.003171079
0.005831928,0.002665795,0.003166134
0.005823476,0.002662278,0.003161197
0.005815042,0.002658773,0.003156269
0.005806628,0.002655279,0.003151349
0.005798233,0.002651796,0.003146437
0.005789857,0.002648324,0.003141532
0.005781498,0.002644863,0.003136636
0.005773158,0.002641411,0.003131747
0.005764836,0.002637971,0.003126865
0.005756531,0.00263454,0.003121991
0.005748243,0.00263112,0.003117123
0.005739972,0.00262771,0.003112262
0.005731717,0.002624309,0.003107408
0.005723478,0.002620918,0.00310256
0.005715256,0.002617537,0.003097719
0.005707049,0.002614165,0.003092884
0.005698857,0.002610803,0.003088055
0.005690681,0.00260745,0.003083232
0.00568252,0.002604105,0.003078415
0.005674373,0.00260077,0.003073603
0.005666241,0.002597443,0.003068798
0.005658123,0.002594125,0.003063998
0.005650019,0.002590816,0.003059203
0.005641929,0.002587515,0.003054414
0.005633853,0.002584222,0.003049631
0.00562579,0.002580937,0.003044852
0.00561774,0.002577661,0.003040079
0.005609703,0.002574392,0.003035311
0.005601679,0.002571131,0.003030549
0.005593668,0.002567877,0.003025791
0.005585669,0.002564631,0.003021039
0.005577683,0.002561392,0.003016291
0.005569709,0.00255816,0.003011549
0.005561747,0.002554936,0.003006812
0.005553798,0.002551718,0.00300208
0.00554586,0.002548507,0.002997352
0.005537933,0.002545303,0.00299263
0.005530019,0.002542106,0.002987913
0.005522116,0.002538915,0.002983201
0.005514224,0.00253573,0.002978494
0.005506344,0.002532552,0.002973793
0.005498475,0.002529379,0.002969096
