Qext,Qsca,Qabs
2.286544698,0.769336487,1.517208211
2.29289809,0.773769262,1.519128828
2.299182363,0.778171159,1.521011204
2.305397569,0.78254195,1.522855619
2.31154378,0.786881419,1.524662361
2.317621086,0.791189366,1.52643172
2.323629597,0.795465603,1.528163994
2.32956944,0.799709955,1.529859485
2.335440763,0.803922261,1.531518502
2.34124373,0.808102373,1.533141356
2.346978524,0.812250156,1.534728368
2.352645348,0.816365488,1.53627986
2.358244419,0.820448257,1.537796162
2.363775976,0.824498368,1.539277608
2.369240271,0.828515734,1.540724538
2.374637578,0.832500282,1.542137297
2.379968185,0.83645195,1.543516235
2.385232398,0.840370689,1.544861709
2.39043054,0.844256461,1.546174079
2.395562949,0.848109237,1.547453711
2.40062998,0.851929003,1.548700977
2.405632006,0.855715752,1.549916255
2.410569414,0.85946949,1.551099924
2.415442607,0.863190233,1.552252374
2.420252002,0.866878006,1.553373996
2.424998034,0.870532847,1.554465187
2.42968115,0.874154801,1.55552635
2.434301815,0.877743923,1.556557892
2.438860505,0.881300279,1.557560226
2.443357712,0.884823943,1.55853377
2.447793942,0.888314998,1.559478944
2.452169713,0.891773538,1.560396176
2.456485559,0.895199661,1.561285898
2.460742024,0.898593479,1.562148545
2.464939666,0.901955109,1.562984558
2.469079057,0.905284675,1.563794382
2.473160779,0.908582313,1.564578466
2.477185426,0.911848163,1.565337263
2.481153605,0.915082373,1.566071231
2.485065933,0.918285101,1.566780832
2.488923039,0.921456509,1.567466529
2.49272556,0.924596768,1.568128792
2.496474147,0.927706054,1.568768093
2.500169458,0.930784551,1.569384907
2.503812161,0.933832448,1.569979712
2.507402934,0.936849943,1.570552991
2.510942463,0.939837237,1.571105226
2.514431443,0.942794538,1.571636906
2.517870578,0.94572206,1.572148518
2.521260577,0.948620022,1.572640555
2.52460216,0.95148865,1.573113509
2.52789605,0.954328174,1.573567876
2.531142979,0.957138827,1.574004152
2.534343686,0.959920851,1.574422835
2.537498913,0.96267449,1.574824424
2.540609411,0.965399993,1.575209418
2.543675932,0.968097614,1.575578317
2.546699236,0.970767612,1.575931624
2.549680084,0.973410248,1.576269837
2.552619245,0.976025788,1.576593457
2.555517488,0.978614503,1.576902985
2.558375585,0.981176666,1.577198919
2.561194313,0.983712554,1.577481759
2.563974449,0.986222448,1.577752
2.566716772,0.988706633,1.57801014
2.569422064,0.991165394,1.57825667
2.572091106,0.993599023,1.578492083
2.574724679,0.996007811,1.578716868
2.577323567,0.998392054,1.578931512
2.57988855,1.000752052,1.579136499
2.582420411,1.003088103,1.579332308
2.584919928,1.005400511,1.579519417
2.587387879,1.007689581,1.579698298
2.589825042,1.00995562,1.579869422
2.592232189,1.012198936,1.580033253
2.594610092,1.014419841,1.58019025
2.596959517,1.016618647,1.58034087
2.599281229,1.018795667,1.580485562
2.601575988,1.020951217,1.580624771
2.603844549,1.023085612,1.580758936
2.606087661,1.025199171,1.580888491
2.608306071,1.027292211,1.581013861
2.610500518,1.029365051,1.581135467
2.612671735,1.031418012,1.581253723
2.614820449,1.033451414,1.581369035
2.61694738,1.035465577,1.581481803
2.619053241,1.037460823,1.581592418
2.621138738,1.039437473,1.581701265
2.623204567,1.041395848,1.581808719
2.625251419,1.043336269,1.58191515
2.627279974,1.045259057,1.582020917
2.629290903,1.047164533,1.582126371
2.63128487,1.049053016,1.582231854
2.633262526,1.050924826,1.5823377
2.635224515,1.052780282,1.582444233
2.637171469,1.0546197,1.582551769
2.639104011,1.056443398,1.582660612
2.641022751,1.058251692,1.582771059
2.64292829,1.060044894,1.582883396
2.644821217,1.061823319,1.582997898
2.646702108,1.063587276,1.583114832
2.64857153,1.065337076,1.583234454
2.650430034,1.067073025,1.583357009
2.652278162,1.068795431,1.583482731
2.654116441,1.070504595,1.583611846
2.655945386,1.072200819,1.583744567
2.6577655,1.073884403,1.583881096
2.659577271,1.075555643,1.584021627
2.661381173,1.077214833,1.584166341
2.66317767,1.078862263,1.584315407
2.664967208,1.080498222,1.584468986
2.666750221,1.082122995,1.584627225
2.668527128,1.083736865,1.584790262
2.670298334,1.085340111,1.584958223
2.672064232,1.086933008,1.585131224
2.673825195,1.088515828,1.585309367
2.675581587,1.09008884,1.585492747
2.677333754,1.091652308,1.585681445
2.679082027,1.093206495,1.585875532
2.680826724,1.094751656,1.586075068
2.682568147,1.096288046,1.586280101
2.684306583,1.097815913,1.58649067
2.686042304,1.099335501,1.586706803
2.687775566,1.100847052,1.586928514
2.689506612,1.102350801,1.58715581
2.691235667,1.10384698,1.587388687
2.692962943,1.105335814,1.587627129
2.694688637,1.106817527,1.58787111
2.696412929,1.108292336,1.588120594
2.698135986,1.109760451,1.588375535
2.699857959,1.111222082,1.588635876
2.701578983,1.11267743,1.588901553
2.70329918,1.114126691,1.589172489
2.705018657,1.115570058,1.589448599
2.706737505,1.117007717,1.589729788
2.708455801,1.118439849,1.590015952
2.710173608,1.119866629,1.590306979
2.711890974,1.121288228,1.590602746
2.713607933,1.122704809,1.590903124
2.715324505,1.124116532,1.591207972
2.717040695,1.12552355,1.591517145
2.718756496,1.12692601,1.591830486
2.720471887,1.128324054,1.592147833
2.722186832,1.129717817,1.592469015
2.723901283,1.131107429,1.592793854
2.72561518,1.132493015,1.593122165
2.727328447,1.133874692,1.593453755
2.729041,1.135252573,1.593788426
2.730752738,1.136626764,1.594125974
2.73246355,1.137997365,1.594466186
2.734173315,1.13936447,1.594808845
2.735881897,1.140728168,1.595153729
2.73758915,1.142088541,1.595500609
2.739294918,1.143445665,1.595849253
2.740999032,1.14479961,1.596199422
2.742701315,1.146150442,1.596550873
2.744401578,1.147498218,1.59690336
2.746099623,1.14884299,1.597256632
2.747795241,1.150184807,1.597610435
2.749488217,1.151523707,1.59796451
2.751178322,1.152859727,1.598318595
2.752865323,1.154192894,1.598672429
2.754548976,1.155523234,1.599025743
2.756229031,1.156850762,1.599378269
2.757905228,1.158175492,1.599729737
2.759577302,1.159497429,1.600079873
2.761244979,1.160816575,1.600428404
2.76290798,1.162132924,1.600775056
2.76456602,1.163446468,1.601119552
2.766218806,1.16475719,1.601461615
2.767866041,1.166065071,1.60180097
2.769507424,1.167370083,1.60213734
2.771142647,1.168672198,1.602470449
2.772771398,1.169971378,1.602800021
2.774393364,1.171267583,1.60312578
2.776008223,1.172560769,1.603447454
2.777615654,1.173850884,1.603764771
2.779215332,1.175137873,1.604077459
2.780806929,1.176421679,1.60438525
2.782390115,1.177702237,1.604687878
2.783964558,1.178979479,1.604985078
2.785529925,1.180253334,1.60527659
2.787085881,1.181523726,1.605562155
2.788632093,1.182790574,1.605841518
2.790168224,1.184053796,1.606114428
2.791693939,1.185313304,1.606380636
2.793208904,1.186569006,1.606639898
2.794712785,1.18782081,1.606891975
2.796205249,1.189068618,1.607136631
2.797685964,1.19031233,1.607373634
2.799154601,1.191551841,1.60760276
2.800610832,1.192787047,1.607823785
2.802054333,1.194017837,1.608036495
2.803484781,1.195244102,1.608240679
2.804901857,1.196465726,1.608436131
2.806305246,1.197682595,1.608622651
2.807694636,1.198894589,1.608800047
2.809069719,1.200101589,1.60896813
2.810430193,1.201303474,1.609126719
2.811775758,1.202500119,1.609275639
2.813106121,1.2036914,1.609414722
2.814420995,1.20487719,1.609543804
2.815720095,1.206057363,1.609662731
2.817003144,1.207231789,1.609771355
2.818269874,1.20840034,1.609869534
2.819520017,1.209562884,1.609957132
2.820753317,1.210719292,1.610034024
2.821969522,1.211869433,1.610100089
2.823168387,1.213013174,1.610155214
2.824349677,1.214150384,1.610199293
2.82551316,1.215280932,1.610232229
2.826658616,1.216404685,1.610253931
2.82778583,1.217521514,1.610264316
2.828894595,1.218631287,1.610263308
2.829984714,1.219733873,1.610250841
2.831055998,1.220829144,1.610226853
2.832108264,1.221916971,1.610191293
2.833141341,1.222997226,1.610144115
2.834155064,1.224069782,1.610085282
2.835149279,1.225134513,1.610014766
2.83612384,1.226191297,1.609932543
2.83707861,1.22724001,1.6098386
2.838013461,1.228280531,1.609732931
2.838928276,1.229312741,1.609615535
2.839822945,1.230336522,1.609486423
2.840697368,1.231351759,1.609345609
2.841551456,1.232358339,1.609193117
2.842385128,1.23335615,1.609028978
2.843198314,1.234345084,1.60885323
2.843990951,1.235325033,1.608665918
2.844762989,1.236295893,1.608467096
2.845514384,1.237257563,1.608256821
2.846245105,1.238209943,1.608035162
2.846955129,1.239152938,1.607802191
2.847644443,1.240086454,1.607557989
2.848313042,1.241010401,1.607302642
2.848960934,1.24192469,1.607036244
2.849588133,1.242829238,1.606758895
2.850194663,1.243723962,1.606470701
2.850780561,1.244608786,1.606171775
2.851345868,1.245483633,1.605862234
2.851890638,1.246348433,1.605542205
2.852414933,1.247203117,1.605211816
2.852918824,1.24804762,1.604871203
2.853402391,1.248881882,1.604520509
2.853865723,1.249705843,1.60415988
2.854308918,1.25051945,1.603789468
2.854732083,1.251322652,1.60340943
2.855135332,1.252115403,1.603019929
2.855518788,1.252897659,1.60262113
2.855882584,1.25366938,1.602213205
2.85622686,1.25443053,1.601796329
2.856551762,1.255181078,1.601370684
2.856857447,1.255920994,1.600936452
2.857144077,1.256650255,1.600493822
2.857411825,1.257368839,1.600042985
2.857660867,1.25807673,1.599584137
2.857891389,1.258773914,1.599117476
2.858103585,1.259460381,1.598643203
2.858297651,1.260136127,1.598161525
2.858473796,1.260801148,1.597672647
2.85863223,1.261455449,1.597176781
2.858773172,1.262099033,1.596674139
2.858896847,1.262731911,1.596164937
2.859003486,1.263354095,1.595649391
2.859093324,1.263965604,1.595127721
2.859166603,1.264566456,1.594600147
2.85922357,1.265156678,1.594066892
2.859264477,1.265736297,1.59352818
2.859289581,1.266305345,1.592984236
2.859299142,1.266863857,1.592435286
2.859293428,1.267411871,1.591881556
2.859272707,1.267949431,1.591323276
2.859237254,1.268476582,1.590760672
2.859187347,1.268993374,1.590193974
2.859123267,1.269499858,1.589623409
2.859045299,1.269996092,1.589049207
2.858953731,1.270482134,1.588471597
2.858848854,1.270958048,1.587890806
2.858730961,1.271423898,1.587307062
2.858600347,1.271879755,1.586720593
2.858457313,1.272325689,1.586131623
2.858302157,1.272761777,1.58554038
2.858135182,1.273188096,1.584947086
2.857956692,1.273604728,1.584351964
2.857766992,1.274011756,1.583755236
2.857566388,1.274409266,1.583157122
2.857355188,1.274797349,1.582557839
2.8571337,1.275176096,1.581957604
2.856902233,1.275545603,1.58135663
2.856661096,1.275905965,1.58075513
2.856410597,1.276257283,1.580153314
