11:00,11:35,12:15,12:50,1:25,2:00
17.27,34.34,10.95,2.61E+01,2.47E+01,-1.00E+01
8.68,36.31,14.85,2.47E+01,2.56E+01,1.71E+01
36.56,27.94,10.93,2.46E+01,1.68E+01,-8.54E+00
5.36,31.59,16.66,7.31E+00,2.16E+01,-1.21E+01
2.21,76.00,7.89,8.81E+00,2.90E+01,-1.04E+01
17.27,33.05,15.59,1.12E+01,2.16E+01,1.80E+01
19.46,33.98,9.93,8.36E+01,3.05E+01,2.02E+00
14.75,20.61,6.10,3.24E+01,2.28E+01,1.88E+00
14.82,34.79,8.55,5.55E+00,1.96E+01,-5.35E+00
19.85,34.02,2.99,5.38E+00,2.87E+01,-6.14E+00
8.75,21.19,-1.65,3.18E+01,5.29E+01,-4.86E+00
32.01,35.99,-2.94,2.01E+01,2.73E+01,-4.83E+00
9.20,40.31,9.07,5.84E+00,2.81E+01,-2.57E+00
20.39,23.28,0.91,3.46E+01,1.67E+01,1.02E+00
38.11,19.54,37.50,1.19E+01,2.24E+01,-3.64E+00
23.37,18.82,12.61,8.02E+00,2.26E+01,-2.20E+00
40.09,81.85,14.54,1.28E+01,2.31E+01,1.28E+00
9.68,23.88,8.48,1.97E+01,5.68E+01,-2.55E+00
4.70,70.11,13.18,3.20E+01,1.71E+01,-4.55E+00
5.71,23.58,5.86,9.69E+00,2.72E+01,-5.28E+00
25.91,36.00,14.33,5.97E+00,2.79E+01,-8.02E+00
7.63,31.02,49.93,3.96E+00,2.94E+01,-7.86E+00
18.58,93.38,11.88,4.35E+01,1.82E+01,-5.12E+00
22.16,36.34,2.30,5.72E+00,2.40E+01,2.84E+01
35.01,41.13,39.93,4.38E+01,2.94E+01,-8.48E+00
8.20,20.73,13.87,1.09E+01,4.81E+01,2.70E+01
24.41,34.92,3.29,2.57E+00,3.04E+01,-5.86E+00
7.80,22.69,12.09,3.02E+01,2.89E+01,-7.68E+00
44.50,41.61,15.27,2.11E+01,1.06E+01,-5.18E+00
5.70,20.99,13.55,3.01E+01,2.74E+01,-5.87E+00
13.14,23.01,4.86,3.99E+01,7.22E+00,1.97E+01
6.24,34.74,2.40,7.41E+00,1.64E+01,1.98E+01
11.98,55.81,12.73,1.85E+01,8.74E+01,6.16E+00
15.04,85.44,31.06,2.48E+01,2.17E+01,7.83E+00
13.08,41.60,6.18,1.35E+01,2.89E+01,3.79E-02
15.29,16.67,9.75,8.46E+00,3.03E+01,-1.35E+01
36.99,24.23,28.70,1.06E+00,2.41E+01,-6.84E+00
36.13,18.53,-0.83,2.78E+01,6.68E+00,-1.48E+00
46.20,12.81,11.02,1.84E+01,9.83E+00,-8.01E+00
32.48,43.92,1.65,5.60E+00,6.86E+00,1.12E+00
25.38,16.79,0.55,1.90E+01,2.56E+00,-2.98E+00
13.12,18.02,8.44,8.76E+00,8.51E+00,-5.92E+00
11.43,12.40,13.61,6.89E+00,3.20E+01,-7.64E+00
28.38,46.05,15.12,1.37E+01,2.65E+00,-3.53E+00
13.36,46.12,7.57,1.13E+01,7.67E+00,-4.00E+00
19.53,12.25,53.64,1.10E+01,1.92E+01,-5.02E-01
12.66,15.47,3.69,1.85E+01,1.08E+00,-9.78E-01
28.98,9.64,4.53,9.62E+00,1.99E+00,3.75E+01
1.54,15.20,-2.12,2.13E+01,4.36E+00,-3.44E+00
19.71,8.56,5.18,1.63E+01,6.29E+00,-2.47E+00
36.35,10.56,22.94,1.29E+01,1.64E+01,-8.10E+00
7.37,11.77,14.19,5.78E+00,7.10E-01,-3.70E+00
24.43,36.00,2.56,1.78E+01,1.43E+01,-4.12E+00
20.03,19.24,10.73,8.37E+00,-2.82E-01,-3.77E+00
2.83,20.74,3.64,3.25E+01,1.99E+01,-3.54E+00
6.46,29.80,12.08,2.99E+01,5.28E+00,8.18E+01
11.15,20.64,3.81,7.37E+00,5.60E+01,3.52E+00
10.42,15.78,10.89,8.89E+00,2.82E+01,-3.08E+00
9.88,56.71,8.90,1.29E+01,1.76E+01,-1.47E+00
13.30,28.57,38.43,1.09E+01,4.35E+01,-3.42E+00
4.96,10.22,9.74,8.44E+00,3.29E+00,3.66E+00
7.12,8.17,2.51,6.02E+00,6.07E+00,6.10E+00
34.71,23.71,20.22,1.02E+01,1.13E+01,-5.16E+00
39.36,20.36,1.24,4.79E+00,2.56E+00,1.72E+01
4.13,8.77,10.19,1.02E+00,9.03E+00,-3.28E+00
4.61,60.25,12.35,8.56E+00,1.76E+01,-4.98E+00
46.53,29.78,71.01,1.13E+01,1.30E+01,-4.87E+00
20.54,51.85,6.57,1.32E+01,1.74E+01,-7.68E+00
2.59,35.45,7.39,1.34E+01,1.04E+01,-6.96E+00
-0.63,21.41,22.74,1.50E+01,2.24E+01,3.64E+00
0.28,36.11,12.76,2.36E+01,9.58E+00,-7.66E+00
81.33,44.39,3.78,7.27E+01,-2.86E+00,7.95E+00
28.71,18.37,1.29,5.89E+00,5.57E+00,-3.04E+00
48.28,20.60,-1.58,2.25E+01,2.38E+01,2.49E+01
14.53,22.86,-0.48,1.21E+01,1.69E+01,1.05E+01
4.14,17.00,5.27,1.88E+00,4.29E+00,-3.28E+00
18.29,31.46,24.29,1.08E+01,2.29E+01,-4.38E+00
177.03,42.61,-3.43,2.02E+01,4.75E+01,-3.15E+00
73.12,58.47,3.25,9.43E+00,1.80E+01,2.33E+00
24.14,26.31,-3.63,2.32E+01,6.67E+00,3.11E+00
94.01,21.90,16.70,1.71E+00,1.54E+01,2.75E+00
9.83,12.12,3.25,1.73E+01,1.17E+01,-3.79E+00
35.97,79.25,9.01,1.05E+01,7.69E+00,1.72E+00
11.88,13.84,0.89,1.80E+01,5.35E+00,1.55E+01
13.85,15.72,-6.73,2.62E+01,8.72E+00,4.02E+01
5.99,10.32,40.27,4.40E+00,1.15E+01,1.11E+01
