,Bscat,Time,Denuder
354,5.93,11:00,Yes
355,35.04,11:00,Yes
356,14.2,11:00,Yes
357,0.57,11:00,Yes
358,13.91,11:00,Yes
359,7.48,11:00,Yes
360,5.15,11:00,Yes
361,44.32,11:00,Yes
362,32.46,11:00,Yes
363,26.58,11:00,Yes
364,1.78,11:00,Yes
365,0.5,11:00,Yes
366,6.7,11:00,Yes
367,8.66,11:00,Yes
368,5.39,11:00,Yes
369,10.33,11:00,Yes
370,0.8,11:00,Yes
371,1.38,11:00,Yes
372,0.78,11:00,Yes
373,27.88,11:00,Yes
374,14.97,11:00,Yes
375,13.56,11:00,Yes
376,43.27,11:00,Yes
377,11.81,11:00,Yes
378,8.12,11:00,Yes
379,19.33,11:00,Yes
380,107.64,11:00,Yes
381,23.65,11:00,Yes
382,13.27,11:00,Yes
383,2.68,11:00,Yes
384,9.76,11:00,Yes
385,7.97,11:00,Yes
386,21.52,11:00,Yes
387,43.28,11:00,Yes
388,11.66,11:00,Yes
389,5.2,11:00,Yes
390,23.67,11:00,Yes
391,91.8,11:00,Yes
392,3.13,11:00,Yes
393,7.02,11:00,Yes
394,11.59,11:00,Yes
395,4,11:00,Yes
396,5.39,11:00,Yes
397,11.37,11:00,Yes
398,13.42,11:00,Yes
399,19.91,11:00,Yes
400,5.04,11:00,Yes
401,6.53,11:00,Yes
402,8.45,11:00,Yes
403,34.7,11:00,Yes
404,1.6,11:00,Yes
405,4.52,11:00,Yes
406,36.06,11:00,Yes
407,14.18,11:00,Yes
408,25.28,11:00,Yes
409,7.49,11:00,Yes
410,6.38,11:00,Yes
411,5.33,11:00,Yes
412,0.66,11:00,Yes
413,71.84,11:00,Yes
414,9.29,11:00,Yes
415,14.13,11:00,Yes
416,3.42,11:00,Yes
417,58.68,11:00,Yes
418,44.25,11:00,Yes
419,10.82,11:00,Yes
420,26.93,11:00,Yes
421,19.14,11:00,Yes
422,1.18,11:00,Yes
423,1.87,11:00,Yes
424,-0.07,11:00,Yes
425,13.18,11:00,Yes
426,11.82,11:00,Yes
427,3.5,11:00,Yes
428,25.08,11:00,Yes
429,3.89,11:00,Yes
430,17.53,11:00,Yes
431,-0.93,11:00,Yes
432,5.27,11:00,Yes
433,-5.59,11:00,Yes
434,-0.01,11:00,Yes
435,29.75,11:00,Yes
436,17.22,11:00,Yes
437,-1.86,11:00,Yes
438,-3.35,11:00,Yes
439,0.56,11:00,Yes
440,7.51,11:00,Yes
441,9.93,11:00,Yes
442,-2.49,11:00,Yes
443,2.35,11:00,Yes
444,-1.78,11:00,Yes
445,-5.11,11:00,Yes
446,-1.62,11:00,Yes
447,37.12,11:00,Yes
448,2.26,11:00,Yes
449,14.57,11:00,Yes
450,17.9,11:00,Yes
451,35.41,11:00,Yes
452,16.3,11:00,Yes
453,-3.17,11:00,Yes
454,1.58,11:00,Yes
455,-1.01,11:00,Yes
456,-3.25,11:00,Yes
457,5.64,11:00,Yes
458,0.82,11:00,Yes
459,8.55,11:00,Yes
460,-4.35,11:00,Yes
461,3.42,11:00,Yes
462,-2.69,11:00,Yes
463,9.16,11:00,Yes
464,-5.79,11:00,Yes
465,-4.87,11:00,Yes
466,7.74,11:00,Yes
467,-9,11:00,Yes
468,15.05,11:00,Yes
469,-5.98,11:00,Yes
470,20.5,11:00,Yes
471,0.81,11:00,Yes
472,5.33,11:00,Yes
473,-8.95,11:00,Yes
474,7.87,11:00,Yes
475,11.58,11:00,Yes
476,1.25,11:00,Yes
477,7.29,11:00,Yes
478,13.95,11:00,Yes
479,33.36,11:00,Yes
480,-0.28,11:00,Yes
481,-7.07,11:00,Yes
482,-6.39,11:00,Yes
483,10.81,11:00,Yes
484,-1.4,11:00,Yes
485,20.44,11:00,Yes
486,6.27,11:00,Yes
487,-5.25,11:00,Yes
488,-0.92,11:00,Yes
489,-5.93,11:00,Yes
490,-4.71,11:00,Yes
491,-5.26,11:00,Yes
492,0.65,11:00,Yes
493,12,11:00,Yes
494,-8.92,11:00,Yes
495,1.45,11:00,Yes
496,25.26,11:00,Yes
497,6.23,11:00,Yes
498,5.69,11:00,Yes
499,20.58,11:00,Yes
500,-0.17,11:00,Yes
501,-7.67,11:00,Yes
502,-1.47,11:00,Yes
503,5.78,11:00,Yes
504,18.4,11:00,Yes
505,-4.88,11:00,Yes
506,-0.57,11:00,Yes
507,-8.28,11:00,Yes
508,-6.48,11:00,Yes
509,5.14,11:00,Yes
510,56.33,11:00,Yes
511,-1.51,11:00,Yes
512,-0.14,11:00,Yes
513,-10.53,11:00,Yes
514,-9.62,11:00,Yes
515,-3.74,11:00,Yes
516,-2.03,11:00,Yes
517,-7.03,11:00,Yes
518,5.59,11:00,Yes
519,19.75,11:00,Yes
520,109.92,11:00,Yes
521,-8.43,11:00,Yes
522,-8.02,11:00,Yes
523,-7.31,11:00,Yes
524,-5.65,11:00,Yes
525,-7.06,11:00,Yes
526,5.22,11:00,Yes
527,-7.55,11:00,Yes
528,-8.43,11:00,Yes
529,14.24,11:00,Yes
530,1.78,11:00,Yes
531,14.77,11:00,Yes
532,0.27,11:00,Yes
533,3.32,11:00,Yes
534,3.26,11:00,Yes
535,24.17,11:00,Yes
536,18.22,11:00,Yes
537,5.6,11:00,Yes
538,26.5,11:00,Yes
539,15.58,11:00,Yes
540,8.15,11:00,Yes
541,7.44,11:00,Yes
542,24.91,11:00,Yes
543,26.53,11:00,Yes
544,3.68,11:00,Yes
545,28.56,11:00,Yes
546,15.09,11:00,Yes
547,5.74,11:00,Yes
548,12.56,11:00,Yes
549,4.57,11:00,Yes
550,19.84,11:00,Yes
551,26.53,11:00,Yes
