Cext,Cscat,Cabs
76708.73363,17235.80298,59472.93065
77786.25335,17625.78775,60160.4656
78869.44305,18020.77256,60848.67049
79958.20773,18420.73757,61537.47016
81052.45271,18825.66153,62226.79118
82152.08363,19235.52181,62916.56183
83257.00661,19650.29442,63606.71219
84367.12826,20069.95409,64297.17417
85482.35578,20494.47423,64987.88156
86602.59703,20923.82702,65678.77001
87727.76059,21357.98343,66369.77716
88857.75582,21796.91325,67060.84257
89992.49295,22240.58512,67751.90783
91131.88313,22688.9666,68442.91653
92275.83848,23142.02416,69133.81432
93424.27216,23599.72325,69824.54891
94577.09843,24062.02833,70515.07011
95734.23271,24528.90291,71205.3298
96895.5916,25000.30959,71895.28201
98061.09298,25476.2101,72584.88288
99230.65605,25956.56535,73274.0907
100404.2013,26441.33543,73962.86589
101581.6507,26930.47971,74651.17104
102762.9277,27423.95684,75338.97086
103947.957,27921.72479,76026.23225
105136.6652,28423.74094,76712.92424
106328.98,28929.96204,77399.01801
107524.8312,29440.34431,78084.48688
108724.1498,29954.84348,78769.30631
109926.8687,30473.4148,79453.45388
111132.9224,30996.01309,80136.9093
112342.2472,31522.5928,80819.65435
113554.781,32053.10803,81501.67293
114770.4636,32587.51256,82182.951
115989.2365,33125.75991,82863.47656
117211.043,33667.80339,83543.23965
118435.8284,34213.5961,84222.23234
119663.5397,34763.09099,84900.44866
120894.1255,35316.2409,85577.88464
122127.5368,35872.99857,86254.53824
123363.726,36433.31672,86930.40933
124602.6477,36997.14805,87605.49967
125844.2582,37564.44529,88279.81291
127088.5157,38135.16124,88953.3545
128335.3805,38709.24877,89626.1317
129584.8145,39286.66089,90298.15358
130836.7817,39867.35078,90969.4309
132091.248,40451.27179,91639.97617
133348.1811,41038.37751,92309.80356
134607.5506,41628.62177,92978.92888
135869.3282,42221.95869,93647.36956
137133.4873,42818.34268,94315.1446
138400.003,43417.72851,94982.27454
139668.8527,44020.0713,95648.78143
140940.0154,44625.32656,96314.68879
142213.4718,45233.45024,96980.02156
143489.2048,45844.3987,97644.80608
144767.1988,46458.12878,98309.07006
146047.4403,47074.59782,98972.84252
147329.9174,47693.76364,99636.15377
148614.62,48315.58462,100299.0354
149901.5398,48940.0197,100961.5201
151190.6702,49567.02836,101623.6419
152482.0065,50196.57072,102285.4358
153775.5455,50828.60747,102946.938
155071.2858,51463.09996,103608.1858
156369.2276,52100.01019,104269.2174
157669.3729,52739.3008,104930.0721
158971.7252,53380.93514,105590.7901
160276.2896,54024.87725,106251.4124
161583.073,54671.09188,106911.9811
162892.0835,55319.54449,107572.539
164203.331,55970.20131,108233.1297
165516.8269,56623.0293,108893.7976
166832.5841,57277.9962,109554.5879
168150.6169,57935.07051,110215.5464
