2016,2017,2018,2019,2020,2021
21.9,17.5,16.2,6.4,10.8,
10.2,23.8,34.4,,10.5,
3,13.3,30.4,,16.2,
10.6,12.5,29.8,,15.2,
1.2,11.3,19.4,,19.5,
1.8,13.8,24.1,,22.4,
15.3,22,12.9,,13.7,
33.3,29.6,27.5,,9.3,
20.7,26.1,22.7,,13.9,
4.2,23.2,8.4,,4.6,
9.2,17.5,10,,5.8,
11,26.2,13.5,,22.8,
15.2,14.7,23.3,,26.2,
7.3,11.5,23.7,,,
12.5,11.9,19.4,,,
16.4,10.8,10.6,,,
13,5.7,6,,,
9.4,11,22.2,,,
16.4,18.2,22.9,,,
20.9,13.2,27.6,,,
5,21.7,36.9,,,
1.4,26.8,15.7,,,
17,22.9,16.7,,,
25.9,15.8,8.7,,,
22.6,,8,,,
12.1,,19.2,,,
13.6,,22.6,,,
15.2,,14.7,,,
13.8,,23.4,,,
14.8,,17.9,,,
16.3,,13.2,,,
12.8,,20.1,,,
9.2,,23.9,,,
8.9,,6.6,,,
,,5.6,,,
,,10.3,,,
,,1.1,,,
,,12.6,,,
