11:00,11:35,12:15,12:50,1:25,2:00
1.91,16.58,-3.44,-1.26E+00,2.87E+01,-1.83E+00
3.34,8.88,1.67,7.07E+00,2.76E+01,1.52E+00
3.06,16.20,-6.76,8.92E+00,2.64E+01,-4.17E+00
0.24,14.70,-0.96,4.96E+00,2.35E+01,-1.04E+01
-3.38,12.61,-4.69,1.58E+00,1.86E+01,-7.54E+00
-0.86,16.51,-1.61,2.68E+00,2.76E+01,-1.61E+01
-1.51,15.83,-0.14,6.92E+00,2.68E+01,-5.90E+00
-0.39,13.31,-3.25,6.30E+00,2.91E+01,-7.10E+00
3.32,14.79,-1.10,9.72E-01,2.44E+01,-9.48E+00
-1.82,16.81,3.13,-1.35E+00,2.63E+01,-1.03E+01
1.20,6.77,-4.45,4.72E+00,2.90E+01,-4.97E+00
0.26,15.19,1.83,6.33E+00,2.23E+01,-5.13E+00
2.50,20.39,5.24,9.79E-01,2.46E+01,-1.05E+01
1.78,18.24,4.14,5.22E+00,2.92E+01,-1.10E+01
-2.88,16.77,-1.23,6.83E+00,2.41E+01,-6.64E+00
-2.01,18.05,2.06,1.02E+01,2.39E+01,-6.03E+00
5.12,19.49,4.42,-1.67E+00,2.70E+01,-9.92E+00
4.08,19.18,2.64,5.24E+00,3.14E+01,-7.81E+00
0.61,18.93,0.43,4.21E+00,3.16E+01,-7.94E+00
1.96,13.46,-0.52,8.99E+00,2.64E+01,-9.67E+00
-1.64,13.15,3.94,6.19E+00,3.11E+01,-8.74E+00
0.33,19.28,3.06,3.01E+00,2.94E+01,-3.75E+00
0.02,20.26,0.42,9.57E-01,2.34E+01,-8.37E+00
3.08,19.68,-0.54,4.13E+00,1.91E+01,-1.16E+01
0.78,19.58,-0.64,5.80E+00,2.90E+01,-7.35E+00
-2.09,19.99,-4.16,7.70E+00,2.66E+01,-8.39E+00
-0.27,19.87,-0.38,1.07E+01,3.20E+01,-7.21E+00
3.25,17.37,-0.72,1.62E+00,2.90E+01,-8.62E+00
0.51,19.88,1.53,5.61E+00,2.54E+01,-4.45E+00
3.71,20.94,0.88,1.06E+00,3.21E+01,-4.42E+00
-4.78,19.08,0.47,-3.77E+00,2.19E+01,-6.48E+00
-3.56,18.83,0.29,1.88E+01,2.56E+01,-4.87E+00
-3.81,25.34,2.81,6.85E+00,2.40E+01,-9.13E+00
-4.41,20.07,-3.07,3.02E+00,2.29E+01,-6.26E+00
-3.26,19.04,-2.97,2.53E+00,2.19E+01,-3.79E+00
-4.26,22.61,-4.41,1.45E+00,2.69E+01,-1.01E+01
-1.96,20.68,4.76,7.11E+00,2.46E+01,-3.35E+00
-1.62,15.91,-2.20,3.14E-01,2.34E+01,-7.49E+00
2.58,20.69,3.61,8.93E+00,2.66E+01,-8.74E+00
9.03,20.11,0.19,8.43E+00,3.26E+01,-8.99E+00
7.82,22.32,4.85,8.10E-01,2.78E+01,-5.19E+00
1.01,17.54,3.14,3.47E+00,2.63E+01,-2.64E+00
2.07,18.62,-2.94,6.65E+00,2.86E+01,-5.66E+00
4.29,15.21,-1.80,3.42E+00,2.74E+01,-6.84E+00
7.50,27.77,0.91,5.71E+00,2.92E+01,-3.44E+00
0.19,19.60,1.22,4.41E+00,2.74E+01,-3.48E+00
2.55,15.28,-5.28,4.23E+00,2.89E+01,-4.38E+00
2.21,14.62,2.54,4.18E+00,2.93E+01,-7.00E+00
7.42,20.46,4.66,3.20E+00,3.43E+01,-1.14E+01
0.35,13.36,1.33,9.47E+00,2.63E+01,-4.55E+00
6.45,12.60,1.03,7.82E+00,2.72E+01,-1.14E+01
3.84,13.91,-2.35,5.12E-01,2.68E+01,-4.71E+00
5.90,16.18,0.03,4.01E+00,2.84E+01,-5.50E+00
7.13,15.46,-1.63,4.67E+00,3.13E+01,-3.21E+00
4.28,13.73,4.75,6.62E+00,2.91E+01,-4.09E+00
-3.15,15.77,-5.18,5.51E+00,2.68E+01,-9.51E+00
5.75,11.35,2.58,-4.58E+00,2.83E+01,-6.42E+00
6.94,18.47,3.57,6.09E+00,2.69E+01,-1.98E+00
4.02,8.21,-1.63,2.96E+00,3.35E+01,-4.65E+00
4.82,11.85,-1.36,3.52E-02,2.24E+01,-5.44E+00
5.18,15.75,1.09,-1.63E+00,2.49E+01,-9.80E+00
10.23,10.75,1.29,5.80E-01,3.46E+01,-8.65E+00
7.73,21.34,1.97,-3.24E+00,3.18E+01,-2.75E+00
1.21,14.00,6.15,3.18E+00,2.64E+01,-7.20E+00
5.84,18.04,0.28,5.98E+00,2.65E+01,-7.99E+00
8.40,17.07,-0.95,6.50E+00,2.66E+01,-5.87E+00
1.34,18.09,-6.37,5.35E+00,2.53E+01,-7.92E+00
5.09,12.39,3.54,3.32E+00,3.09E+01,-3.92E+00
4.71,15.22,1.78,3.51E+00,2.75E+01,-8.51E+00
-2.64,11.65,-4.98,3.03E+00,2.77E+01,-1.23E+01
4.02,15.67,0.11,9.68E-01,3.03E+01,-5.42E+00
6.05,15.24,-2.58,-2.82E+00,3.27E+01,-7.91E+00
3.67,13.72,-1.88,2.81E+00,2.80E+01,-7.74E+00
-0.07,12.28,0.84,7.50E+00,2.91E+01,-6.19E+00
4.06,16.54,6.82,3.88E+00,3.36E+01,-1.32E+00
-4.03,13.15,8.19,3.91E+00,2.85E+01,-7.44E+00
2.55,15.66,-4.84,2.98E+00,3.02E+01,-8.85E+00
8.10,12.80,7.66,5.27E+00,3.28E+01,-8.68E+00
-2.06,12.51,1.11,6.60E+00,2.46E+01,-8.78E+00
4.72,15.32,8.78,4.93E+00,2.61E+01,-4.16E+00
7.56,19.71,0.28,-2.18E+00,2.46E+01,-5.90E+00
1.55,19.66,-1.42,2.54E-01,2.50E+01,-7.58E+00
-0.47,15.32,4.25,6.39E+00,3.17E+01,-8.53E-01
3.17,12.88,1.64,2.62E+00,3.09E+01,-4.97E+00
8.31,16.50,-2.12,4.30E+00,2.72E+01,-1.14E+00
5.29,17.43,-2.79,1.22E+01,2.47E+01,-8.05E+00
-0.06,14.67,1.40,8.52E+00,2.86E+01,-1.03E+01
-0.73,17.15,5.64,7.54E+00,2.42E+01,-6.90E+00
5.69,14.88,2.59,-1.77E+00,2.51E+01,-1.26E+01
0.25,19.34,4.81,7.14E+00,3.08E+01,-1.35E+01
4.92,14.97,1.62,-3.01E+00,2.23E+01,-1.19E+01
0.13,14.75,-0.75,2.54E+00,2.85E+01,-9.20E+00
6.80,20.96,1.96,7.04E-01,2.68E+01,-8.55E+00
6.45,17.66,1.82,1.92E+00,2.85E+01,-8.29E+00
3.39,17.77,0.66,-3.71E+00,3.73E+01,-6.78E+00
3.89,18.62,-1.11,3.00E-01,3.21E+01,-9.41E+00
4.13,17.71,-2.56,4.58E+00,3.74E+01,-1.17E+01
-4.28,14.50,-2.98,3.63E+00,2.00E+01,-1.04E+01
2.29,25.64,7.08,1.77E+00,2.63E+01,-2.22E+00
6.57,20.46,2.29,-2.55E-01,2.88E+01,-9.32E+00
3.49,15.11,-2.98,7.24E-01,3.26E+01,-8.67E+00
5.33,18.72,-1.14,-1.78E-01,3.13E+01,-4.23E+00
6.00,24.20,2.49,5.76E+00,2.36E+01,-6.05E-01
2.83,24.90,1.52,3.67E+00,3.18E+01,-5.31E+00
3.21,17.61,1.72,4.87E+00,2.98E+01,-5.62E+00
6.68,17.58,5.44,-1.84E+00,2.74E+01,-8.17E-01
3.41,21.31,2.30,3.32E+00,3.19E+01,-1.03E+01
-2.19,21.82,1.40,8.54E+00,3.30E+01,-4.42E+00
4.58,17.45,3.05,-1.37E+00,2.88E+01,-6.88E+00
9.64,16.61,2.79,-2.35E+00,2.95E+01,-1.10E+01
8.25,19.98,3.64,7.76E+00,3.07E+01,-9.69E+00
4.74,23.47,-2.80,1.52E+00,3.06E+01,-1.11E+01
6.00,17.36,4.83,-4.56E+00,2.65E+01,-1.05E+01
11.08,24.81,2.58,-2.11E+00,2.34E+01,-7.58E+00
6.54,14.99,4.18,2.76E+00,2.39E+01,-6.17E+00
-3.67,18.02,3.09,4.48E+00,1.98E+01,-6.37E+00
2.76,21.08,5.75,4.01E+00,2.73E+01,-8.38E+00
6.59,15.19,2.04,1.89E+00,2.85E+01,-7.39E+00
9.79,21.89,4.20,-1.74E+00,2.70E+01,-4.74E+00
4.65,21.47,2.07,7.92E-01,2.96E+01,-8.68E+00
7.01,11.25,-0.69,-5.47E-01,2.54E+01,-3.93E+00
4.91,18.59,2.41,1.93E+00,2.90E+01,-1.32E+01
1.01,14.66,-1.26,-3.17E+00,2.81E+01,-1.09E+01
