,Bext,Time,Denuder
492,3.26E+00,11:00,Yes
493,1.60E+01,11:00,Yes
494,4.02E+01,11:00,Yes
495,2.94E+01,11:00,Yes
496,8.98E+00,11:00,Yes
497,2.13E+01,11:00,Yes
498,6.64E+00,11:00,Yes
499,2.01E+01,11:00,Yes
500,1.21E+01,11:00,Yes
501,1.67E+01,11:00,Yes
502,9.97E+00,11:00,Yes
503,2.98E+01,11:00,Yes
504,1.34E+01,11:00,Yes
505,1.94E+01,11:00,Yes
506,4.42E+01,11:00,Yes
507,3.29E+00,11:00,Yes
508,1.31E+01,11:00,Yes
509,1.17E+01,11:00,Yes
510,4.14E+00,11:00,Yes
511,9.94E+00,11:00,Yes
512,1.42E+01,11:00,Yes
513,6.62E+00,11:00,Yes
514,1.02E+01,11:00,Yes
515,-2.97E-01,11:00,Yes
516,2.99E+01,11:00,Yes
517,1.82E+01,11:00,Yes
518,5.62E+00,11:00,Yes
519,1.52E+01,11:00,Yes
520,3.90E+00,11:00,Yes
521,5.52E+01,11:00,Yes
522,2.68E+00,11:00,Yes
523,1.56E+00,11:00,Yes
524,2.66E+01,11:00,Yes
525,1.06E+01,11:00,Yes
526,7.59E+00,11:00,Yes
527,1.94E+01,11:00,Yes
528,5.85E+00,11:00,Yes
529,6.51E+00,11:00,Yes
530,4.21E+00,11:00,Yes
531,6.55E+01,11:00,Yes
532,9.62E+00,11:00,Yes
533,4.68E+00,11:00,Yes
534,5.50E+00,11:00,Yes
535,5.52E+00,11:00,Yes
536,1.10E+01,11:00,Yes
537,1.35E+01,11:00,Yes
538,6.91E+00,11:00,Yes
539,1.59E+01,11:00,Yes
540,7.08E+01,11:00,Yes
541,5.63E+01,11:00,Yes
542,1.97E+01,11:00,Yes
543,2.60E+00,11:00,Yes
544,4.26E+00,11:00,Yes
545,2.32E+01,11:00,Yes
546,9.85E+00,11:00,Yes
547,2.89E+01,11:00,Yes
548,1.58E+01,11:00,Yes
549,7.42E+00,11:00,Yes
550,7.41E+00,11:00,Yes
551,1.77E+01,11:00,Yes
552,9.02E+00,11:00,Yes
553,6.43E+00,11:00,Yes
554,6.20E+00,11:00,Yes
555,9.94E+00,11:00,Yes
556,4.36E+00,11:00,Yes
557,3.21E+01,11:00,Yes
558,4.61E+01,11:00,Yes
559,1.62E+01,11:00,Yes
560,8.04E+00,11:00,Yes
561,1.19E+01,11:00,Yes
562,9.74E+00,11:00,Yes
563,6.45E+00,11:00,Yes
564,7.75E+00,11:00,Yes
565,4.86E+00,11:00,Yes
566,5.01E+00,11:00,Yes
567,2.82E+01,11:00,Yes
568,6.16E+01,11:00,Yes
569,2.47E+01,11:00,Yes
570,1.68E+01,11:00,Yes
571,6.32E+00,11:00,Yes
572,1.40E+02,11:00,Yes
573,8.47E+00,11:00,Yes
574,9.72E+00,11:00,Yes
575,2.69E+00,11:00,Yes
576,2.30E+01,11:00,Yes
577,1.08E+01,11:00,Yes
578,7.36E+01,11:00,Yes
579,1.01E+02,11:00,Yes
580,1.20E+01,11:00,Yes
581,4.63E+01,11:00,Yes
582,7.90E+00,11:00,Yes
583,6.35E+01,11:00,Yes
584,2.85E+01,11:00,Yes
585,7.57E+00,11:00,Yes
586,3.25E+00,11:00,Yes
587,1.87E+01,11:00,Yes
588,6.76E+00,11:00,Yes
