J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D
36.8,47,81.3,22.3,17.1,30.8,49.1,32.4,26.4,37.9,18,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.5,36.7,55.5,31.7,14.4,23.2,35.3,17.8,28.1,38.9,33,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.2,68.8,16.8,32.9,22.4,24.7,18.7,20,20.5,34.9,23.4,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.4,25.7,27.1,56.2,25.7,44.8,17.6,16.6,17.1,37.6,24,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.8,23.3,120.8,17.4,30.3,40.4,19.9,13.3,25.6,38.8,27.1,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.1,30.2,121.1,37.8,47.2,50.6,22.8,17.8,26.7,36.5,17.1,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.9,39,28.6,67.3,53.1,47.1,34.9,11.1,35.9,46.4,24.6,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6,38.2,25.4,93.4,84.6,48.3,75.8,28.4,13.4,41.7,22.2,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.1,38.3,34.8,33.1,66.7,19.5,26.9,17.5,16.1,28,36.2,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.8,36.5,33,53.6,36.8,15.7,20.2,20.3,17.5,36.5,44.7,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.9,110.18,30.3,35.6,33.8,10.2,19.1,11.2,14,34.8,15.1,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.8,25,128.4,25,33.5,29.7,32.9,11.5,15.3,38.4,23,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,15.26,32.5,1.47,34.4,21.13,16.3,8.8,8.07,36.3,33.8,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.7,52.02,24.9,8.6,17.2,15.43,19.2,8.7,21.48,39.1,15.82,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.6,9.4,56.72,25.97,45.19,18.94,7.17,40.82,13.23,23.06,6.39,34.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.6,28,51.97,51.38,12.59,8.66,7.11,29.23,14.04,28.9,5.2,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2,10.33,31.9,60.39,13.01,16.84,6.44,12.46,22.94,22.35,-6.56,-2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.22,25.96,100.16,50.97,19.18,11.15,22.69,18.58,16.83,8.06,40.36,27.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39.79,84.32,42.34,24.55,23.53,35.01,23,6.58,43.59,7.68,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9,48.02,62.21,13.85,132.94,20.3,62.5,16.31,6.69,12.84,3.13,38.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5,40.98,75.96,16.39,31.01,19.63,63.76,8.58,18.53,20.72,6.13,63.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66.03,71.58,105.42,29.01,25.58,24.88,24.98,38.98,3.51,-1.79,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.9,43.19,12.27,0.5,16.53,10.85,37.98,8.54,28.44,1.24,2.17,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.07,28.48,12.92,5.18,18.69,10.48,19.11,11.86,25.48,18.21,5.87,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.26,31.84,62.15,19.52,22.04,16.22,19.4,5.4,24.27,40.44,22.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.73,47.46,137.15,48.44,30.47,26.75,15.8,14.97,30.9,31.76,61.09,26.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.57,50.73,8.05,141.09,10.09,29.84,22.31,7.87,19.9,37.76,96.09,15.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.2,81.65,15.59,34.17,20.66,17.48,18.4,11.36,19.48,55.67,95.93,27.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4,56.93,23.4,5.02,29.3,15.89,120.23,17.28,28.61,51.3,63.72,79.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.52,41.4,30.19,21.47,140.45,17.37,61.48,19.3,31.57,23.85,5.78,79.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.4,33.64,19.77,20.7,39.56,19.72,43.69,21.4,30.44,12.13,7.51,48.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.73,99.92,27.9,22.09,11.89,23.39,43.44,42.62,30.44,38.44,14.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.96,35.58,26.36,12.5,17.4,28.35,31.26,15.86,29.11,10.35,25.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.4,25.75,4.75,70.4,15.13,39.97,25.77,15.9,36.66,29.55,6.24,102.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.17,12.69,38.08,12.57,8.7,46.44,17.81,4.67,19.73,32.34,20.34,62.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.22,23.69,187.83,31.32,52.45,30.58,18.73,14.35,15.69,47.67,8.41,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.73,58.23,158,123.1,70.44,27.7,23.75,16.16,26.19,70.22,8.8,19.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.45,43.61,35.79,59.05,63.15,9.6,34.54,17.27,9.7,69.09,13.92,17.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.11,26.1,16.24,36.68,69.16,7.33,57.05,25.77,37.1,36.13,23.34,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.95,,26.67,52.88,66.26,4.3,17.17,14.13,20.65,16.35,60.38,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.73,,24.87,26.3,22.05,5.49,16.07,22.45,16.59,13.08,8.97,14.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.88,,31.08,19.2,40.58,48.13,14.73,3.16,16.7,50.3,25.92,17.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.25,,158.51,,34.71,,35.9,6.82,,30.84,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.09,,30.14,,14.37,,12.22,4.26,,54.05,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.65,,10.4,,14.55,,15.62,6.22,,54.26,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
