Bscat 	Time 	Denuder 
2.38E+01	11:00	With denuder
3.52E+01	11:00	With denuder
4.20E+01	11:00	With denuder
1.49E+00	11:00	With denuder
1.00E+01	11:00	With denuder
3.84E+01	11:00	With denuder
1.75E+01	11:00	With denuder
5.27E+00	11:00	With denuder
5.44E+00	11:00	With denuder
1.73E+00	11:00	With denuder
4.37E+00	11:00	With denuder
4.87E+00	11:00	With denuder
3.38E+00	11:00	With denuder
6.28E+00	11:00	With denuder
3.54E+01	11:00	With denuder
2.63E+01	11:00	With denuder
4.34E+01	11:00	With denuder
2.50E+00	11:00	With denuder
7.09E+01	11:00	With denuder
1.99E+01	11:00	With denuder
9.60E+00	11:00	With denuder
1.23E+01	11:00	With denuder
1.02E+01	11:00	With denuder
4.79E+01	11:00	With denuder
1.27E+01	11:00	With denuder
2.22E+01	11:00	With denuder
1.70E+01	11:00	With denuder
3.96E+00	11:00	With denuder
5.36E+01	11:00	With denuder
1.06E+01	11:00	With denuder
6.82E+00	11:00	With denuder
1.08E+01	11:00	With denuder
3.30E+00	11:00	With denuder
4.50E+01	11:00	With denuder
4.81E+01	11:00	With denuder
3.31E+00	11:00	With denuder
1.87E+01	11:00	With denuder
1.19E+01	11:00	With denuder
8.33E+00	11:00	With denuder
2.80E+01	11:00	With denuder
7.65E+01	11:00	With denuder
7.13E+00	11:00	With denuder
4.04E+00	11:00	With denuder
3.14E+00	11:00	With denuder
7.00E+00	11:00	With denuder
2.00E+01	11:00	With denuder
1.39E+01	11:00	With denuder
6.46E+00	11:00	With denuder
5.43E+00	11:00	With denuder
1.90E+00	11:00	With denuder
7.47E+01	11:00	With denuder
1.45E+02	11:00	With denuder
4.10E+01	11:00	With denuder
3.04E+01	11:00	With denuder
1.30E+01	11:00	With denuder
1.90E+01	11:00	With denuder
5.24E+01	11:00	With denuder
2.12E+01	11:00	With denuder
3.36E+01	11:00	With denuder
1.40E+01	11:00	With denuder
1.14E+01	11:00	With denuder
5.72E+00	11:00	With denuder
5.04E+01	11:00	With denuder
4.58E+01	11:00	With denuder
4.11E+00	11:00	With denuder
1.23E+01	11:00	With denuder
7.11E+00	11:00	With denuder
2.21E+01	11:00	With denuder
7.75E+00	11:00	With denuder
2.06E+01	11:00	With denuder
3.27E+01	11:00	With denuder
