,Bscat ,Time ,Denuder 
271,1.79E+01,0.46,With denuder
272,2.92E+01,0.46,With denuder
273,8.23E+00,0.46,With denuder
274,2.77E+01,0.46,With denuder
275,3.89E+01,0.46,With denuder
276,3.89E+00,0.46,With denuder
277,2.28E+01,0.46,With denuder
278,1.93E+01,0.46,With denuder
279,9.56E+00,0.46,With denuder
280,6.62E+00,0.46,With denuder
281,4.25E+00,0.46,With denuder
282,5.02E+00,0.46,With denuder
283,6.43E+00,0.46,With denuder
284,7.20E+00,0.46,With denuder
285,9.86E+00,0.46,With denuder
286,2.70E+01,0.46,With denuder
287,2.31E+01,0.46,With denuder
288,1.48E+01,0.46,With denuder
289,5.92E+00,0.46,With denuder
290,4.82E+01,0.46,With denuder
291,7.62E+00,0.46,With denuder
292,1.99E+01,0.46,With denuder
293,5.73E+00,0.46,With denuder
294,3.09E+00,0.46,With denuder
295,6.32E+01,0.46,With denuder
296,2.22E+01,0.46,With denuder
297,1.40E-01,0.46,With denuder
298,6.13E+00,0.46,With denuder
299,4.50E+00,0.46,With denuder
300,1.03E+01,0.46,With denuder
301,1.09E+01,0.46,With denuder
302,2.59E+00,0.46,With denuder
303,3.07E+01,0.46,With denuder
304,2.65E+01,0.46,With denuder
305,3.58E+01,0.46,With denuder
306,1.25E+01,0.46,With denuder
307,3.86E+01,0.46,With denuder
308,6.72E+00,0.46,With denuder
309,7.73E+00,0.46,With denuder
310,1.17E+01,0.46,With denuder
311,1.35E+01,0.46,With denuder
312,2.90E+01,0.46,With denuder
313,1.38E+01,0.46,With denuder
314,2.28E+01,0.46,With denuder
315,7.78E+00,0.46,With denuder
316,3.08E+00,0.46,With denuder
317,8.51E+01,0.46,With denuder
318,9.53E+00,0.46,With denuder
319,3.83E+01,0.46,With denuder
320,2.24E+01,0.46,With denuder
321,2.30E+00,0.46,With denuder
322,4.64E+00,0.46,With denuder
323,5.49E+00,0.46,With denuder
324,1.81E+01,0.46,With denuder
325,3.89E+01,0.46,With denuder
326,1.17E+01,0.46,With denuder
327,4.26E+00,0.46,With denuder
328,1.94E+01,0.46,With denuder
329,9.06E+00,0.46,With denuder
330,7.09E+00,0.46,With denuder
331,2.28E+01,0.46,With denuder
332,1.66E+01,0.46,With denuder
333,1.69E+01,0.46,With denuder
334,7.04E+00,0.46,With denuder
335,1.39E+01,0.46,With denuder
336,1.66E+01,0.46,With denuder
337,9.28E+00,0.46,With denuder
338,5.31E+00,0.46,With denuder
339,5.96E+00,0.46,With denuder
340,8.32E+00,0.46,With denuder
341,2.36E+01,0.46,With denuder
342,1.99E+01,0.46,With denuder
343,4.20E+01,0.46,With denuder
344,6.63E+00,0.46,With denuder
345,1.00E+01,0.46,With denuder
346,1.48E+01,0.46,With denuder
347,6.12E+00,0.46,With denuder
348,5.12E+01,0.46,With denuder
349,6.74E+01,0.46,With denuder
350,1.27E+01,0.46,With denuder
351,7.12E+00,0.46,With denuder
352,1.55E+01,0.46,With denuder
353,2.40E+01,0.46,With denuder
354,2.05E+01,0.46,With denuder
355,1.13E+01,0.46,With denuder
356,1.56E+01,0.46,With denuder
357,2.42E+01,0.46,With denuder
358,1.06E+01,0.46,With denuder
359,1.21E+01,0.46,With denuder
360,4.79E+00,0.46,With denuder
361,1.35E+01,0.46,With denuder
362,1.48E+01,0.46,With denuder
363,2.46E+01,0.46,With denuder
364,1.39E+01,0.46,With denuder
365,2.91E+00,0.46,With denuder
366,2.66E+00,0.46,With denuder
367,8.37E+00,0.46,With denuder
368,2.99E+00,0.46,With denuder
369,1.26E+01,0.46,With denuder
370,7.15E+00,0.46,With denuder
371,1.44E+01,0.46,With denuder
372,8.31E+00,0.46,With denuder
373,7.96E+00,0.46,With denuder
374,1.06E+01,0.46,With denuder
375,1.50E+01,0.46,With denuder
376,2.23E+01,0.46,With denuder
377,4.22E+01,0.46,With denuder
378,1.54E+01,0.46,With denuder
379,5.43E+01,0.46,With denuder
380,1.53E+01,0.46,With denuder
381,7.66E+00,0.46,With denuder
382,2.45E+01,0.46,With denuder
383,1.82E+01,0.46,With denuder
384,1.46E+01,0.46,With denuder
385,2.17E+00,0.46,With denuder
386,6.82E+00,0.46,With denuder
387,5.00E+01,0.46,With denuder
388,1.16E+01,0.46,With denuder
389,1.69E+01,0.46,With denuder
390,9.01E+00,0.46,With denuder
391,2.02E+01,0.46,With denuder
392,8.58E+00,0.46,With denuder
393,8.63E+00,0.46,With denuder
394,1.59E+01,0.46,With denuder
395,3.82E+01,0.46,With denuder
396,9.51E+00,0.46,With denuder
397,1.77E+01,0.46,With denuder
398,3.30E+00,0.46,With denuder
399,3.54E+00,0.46,With denuder
400,5.67E+01,0.46,With denuder
401,8.89E+00,0.46,With denuder
402,4.27E+01,0.46,With denuder
403,2.19E+01,0.46,With denuder
404,7.17E+01,0.46,With denuder
405,1.34E+01,0.46,With denuder
406,1.52E+01,0.46,With denuder
407,1.08E+01,0.46,With denuder
408,7.12E+00,0.46,With denuder
409,4.58E+00,0.46,With denuder
410,2.40E+00,0.46,With denuder
411,9.08E+00,0.46,With denuder
412,7.00E+00,0.46,With denuder
413,7.39E+00,0.46,With denuder
414,1.02E+01,0.46,With denuder
415,9.23E+00,0.46,With denuder
416,3.91E+00,0.46,With denuder
417,3.28E+00,0.46,With denuder
418,4.26E+01,0.46,With denuder
419,5.22E+01,0.46,With denuder
420,4.73E+00,0.46,With denuder
421,7.84E+00,0.46,With denuder
422,2.51E+01,0.46,With denuder
423,3.47E+01,0.46,With denuder
424,3.65E+01,0.46,With denuder
425,5.05E+00,0.46,With denuder
426,5.82E+00,0.46,With denuder
427,1.16E+01,0.46,With denuder
428,3.69E+00,0.46,With denuder
429,1.30E+00,0.46,With denuder
430,9.01E+00,0.46,With denuder
431,8.13E+00,0.46,With denuder
432,1.11E+01,0.46,With denuder
433,1.80E+01,0.46,With denuder
434,8.31E+00,0.46,With denuder
435,2.10E+01,0.46,With denuder
436,2.21E+01,0.46,With denuder
437,4.49E+00,0.46,With denuder
438,1.81E+00,0.46,With denuder
439,4.98E+00,0.46,With denuder
440,5.79E+01,0.46,With denuder
441,1.46E+01,0.46,With denuder
442,5.68E+00,0.46,With denuder
443,1.04E+01,0.46,With denuder
444,6.39E+00,0.46,With denuder
445,2.44E+01,0.46,With denuder
446,1.32E+01,0.46,With denuder
447,9.17E+01,0.46,With denuder
448,1.42E+01,0.46,With denuder
449,2.30E+01,0.46,With denuder
450,2.24E+01,0.46,With denuder
451,5.98E+00,0.46,With denuder
452,1.33E+01,0.46,With denuder
453,2.55E+00,0.46,With denuder
454,2.05E+00,0.46,With denuder
455,2.44E+00,0.46,With denuder
456,7.49E+00,0.46,With denuder
457,5.28E+00,0.46,With denuder
458,2.30E+01,0.46,With denuder
459,4.09E+00,0.46,With denuder
460,8.95E+00,0.46,With denuder
461,7.22E+01,0.46,With denuder
462,3.80E+01,0.46,With denuder
463,1.50E+01,0.46,With denuder
464,4.31E+01,0.46,With denuder
465,1.40E+01,0.46,With denuder
466,1.22E+01,0.46,With denuder
467,6.97E+00,0.46,With denuder
468,9.77E+00,0.46,With denuder
469,2.10E+01,0.46,With denuder
470,2.38E+01,0.46,With denuder
471,3.52E+01,0.46,With denuder
472,4.20E+01,0.46,With denuder
