,Babs,Time,Denuder
787,-12.34,11:00,Yes
788,-3.87,11:00,Yes
789,-8.02,11:00,Yes
790,-6.85,11:00,Yes
791,-4.74,11:00,Yes
792,-9.6,11:00,Yes
793,-11.07,11:00,Yes
794,-6.8,11:00,Yes
795,-13.96,11:00,Yes
796,-6.93,11:00,Yes
797,-2.52,11:00,Yes
798,-3.82,11:00,Yes
799,-7.11,11:00,Yes
800,-11.72,11:00,Yes
801,-6.85,11:00,Yes
802,-5.02,11:00,Yes
803,-5.42,11:00,Yes
804,-13.99,11:00,Yes
805,-4.43,11:00,Yes
806,-9.08,11:00,Yes
807,-8.2,11:00,Yes
808,-7.75,11:00,Yes
809,-15.12,11:00,Yes
810,-2.47,11:00,Yes
811,-6.67,11:00,Yes
812,-6.78,11:00,Yes
813,-10.48,11:00,Yes
814,-13.13,11:00,Yes
815,-9.46,11:00,Yes
816,-7.59,11:00,Yes
817,-13.26,11:00,Yes
818,-12.62,11:00,Yes
819,-13.9,11:00,Yes
820,-7.24,11:00,Yes
821,-9.37,11:00,Yes
822,-13.49,11:00,Yes
823,-13.78,11:00,Yes
824,-5.42,11:00,Yes
825,-4.38,11:00,Yes
826,-8.41,11:00,Yes
827,-0.23,11:00,Yes
828,-13.42,11:00,Yes
829,-5.5,11:00,Yes
830,-17.84,11:00,Yes
831,-1.56,11:00,Yes
832,-6.82,11:00,Yes
833,-4.1,11:00,Yes
834,-10.21,11:00,Yes
835,-3.97,11:00,Yes
836,-3.6,11:00,Yes
837,-4.73,11:00,Yes
838,-3.93,11:00,Yes
839,2.87,11:00,Yes
840,-7.43,11:00,Yes
841,-2.88,11:00,Yes
842,-0.33,11:00,Yes
843,-2.22,11:00,Yes
844,-3.49,11:00,Yes
845,-1.32,11:00,Yes
846,-8.01,11:00,Yes
847,-3.88,11:00,Yes
848,-9.76,11:00,Yes
849,1.07,11:00,Yes
850,-7.05,11:00,Yes
851,-5.01,11:00,Yes
852,-14.75,11:00,Yes
853,-8.78,11:00,Yes
854,-1.98,11:00,Yes
855,-2.66,11:00,Yes
856,-6.39,11:00,Yes
857,1.52,11:00,Yes
858,-11.42,11:00,Yes
859,-12.42,11:00,Yes
860,-8.78,11:00,Yes
861,-5.62,11:00,Yes
862,-4.86,11:00,Yes
863,-7.84,11:00,Yes
864,-0.41,11:00,Yes
865,1.59,11:00,Yes
866,0.56,11:00,Yes
867,-1.27,11:00,Yes
