,Babs,Time,Denuder
283,8.32E+00,11:00,Yes
284,5.88E+00,11:00,Yes
285,7.08E+00,11:00,Yes
286,7.94E+00,11:00,Yes
287,6.03E+00,11:00,Yes
288,2.95E+00,11:00,Yes
289,8.46E+00,11:00,Yes
290,5.20E+00,11:00,Yes
291,2.81E+00,11:00,Yes
292,2.88E+00,11:00,Yes
293,7.82E+00,11:00,Yes
294,2.51E+00,11:00,Yes
295,5.14E+00,11:00,Yes
296,7.48E-01,11:00,Yes
297,1.14E+01,11:00,Yes
298,2.69E+01,11:00,Yes
299,7.46E+00,11:00,Yes
300,5.53E+00,11:00,Yes
301,9.96E+00,11:00,Yes
302,7.69E+00,11:00,Yes
303,3.59E+00,11:00,Yes
304,2.70E+00,11:00,Yes
305,7.20E+00,11:00,Yes
306,6.08E+00,11:00,Yes
307,1.86E+00,11:00,Yes
308,5.85E+00,11:00,Yes
309,8.52E+00,11:00,Yes
310,3.73E+00,11:00,Yes
311,9.75E+00,11:00,Yes
312,5.68E+00,11:00,Yes
313,3.26E+00,11:00,Yes
314,6.17E+00,11:00,Yes
315,2.92E+00,11:00,Yes
316,4.54E+00,11:00,Yes
317,7.14E+00,11:00,Yes
318,6.31E+00,11:00,Yes
319,4.56E+00,11:00,Yes
320,3.31E+00,11:00,Yes
321,5.41E+00,11:00,Yes
322,4.85E+00,11:00,Yes
323,2.86E+00,11:00,Yes
324,1.07E+01,11:00,Yes
325,4.25E+00,11:00,Yes
326,7.90E+00,11:00,Yes
327,6.61E+00,11:00,Yes
328,1.59E+00,11:00,Yes
329,6.69E+00,11:00,Yes
330,1.03E+01,11:00,Yes
331,9.88E+00,11:00,Yes
332,7.21E+00,11:00,Yes
333,5.13E+00,11:00,Yes
334,8.24E+00,11:00,Yes
335,8.65E+00,11:00,Yes
336,8.64E+00,11:00,Yes
337,6.98E+00,11:00,Yes
338,9.26E-01,11:00,Yes
339,7.36E+00,11:00,Yes
340,1.07E+01,11:00,Yes
341,8.81E+00,11:00,Yes
342,7.63E+00,11:00,Yes
343,7.15E+00,11:00,Yes
344,5.39E+00,11:00,Yes
345,7.83E+00,11:00,Yes
346,2.70E+00,11:00,Yes
347,1.21E+00,11:00,Yes
348,6.08E+00,11:00,Yes
349,6.26E+00,11:00,Yes
350,1.09E+01,11:00,Yes
351,4.69E+00,11:00,Yes
352,4.57E+00,11:00,Yes
353,6.91E+00,11:00,Yes
354,7.47E+00,11:00,Yes
355,2.56E+00,11:00,Yes
356,1.69E+00,11:00,Yes
357,9.62E+00,11:00,Yes
358,5.47E+00,11:00,Yes
359,1.05E+01,11:00,Yes
360,3.20E+00,11:00,Yes
361,7.74E+00,11:00,Yes
362,5.69E+00,11:00,Yes
363,1.00E+01,11:00,Yes
364,7.86E+00,11:00,Yes
365,4.47E+00,11:00,Yes
366,3.17E+00,11:00,Yes
367,8.08E+00,11:00,Yes
368,6.24E+00,11:00,Yes
369,5.80E+00,11:00,Yes
370,5.55E-01,11:00,Yes
371,4.69E+00,11:00,Yes
372,6.74E+00,11:00,Yes
373,1.02E+01,11:00,Yes
374,1.03E+01,11:00,Yes
