11:00:00 AM,11:35:00 AM,12:16:00 PM,12:51:00 PM,1:26:00 AM,2:00:00 AM
14.45,14.14246,4.06,7.35E+00,8.10E-01,3.06E+00
13.23,21.64081,-2.40,1.04E+01,4.80E+01,2.15E+00
4.84,18.11163,0.32,2.82E+00,-5.02E+00,8.70E+00
4.29,13.57135,0.04,5.50E+00,1.72E+01,1.07E+01
35.44,22.63928,1.66,6.14E+00,2.76E+01,7.13E+00
19.61,10.49164,4.91,2.72E+01,-2.78E-01,1.86E+01
7.29,3.553467,3.60,2.23E+01,-5.38E+00,2.75E-01
12.90,8.102051,5.50,1.84E+01,-5.53E+00,5.74E+00
27.62,6.338745,1.23,3.36E+00,-2.50E+00,2.36E+00
13.16,8.856445,-1.09,5.02E+00,6.22E+01,5.72E+00
5.97,14.00647,2.96,1.08E+02,-2.39E-01,1.53E+01
13.65,6.987488,-0.60,7.06E+00,-3.78E+00,8.17E+01
22.99,7.707214,3.31,6.92E+00,-2.46E+00,6.23E+00
9.45,2.48877,15.96,6.42E+00,-1.78E+00,3.33E+00
14.14,9.548584,2.77,2.44E+01,4.69E+00,2.50E+00
41.35,21.07684,1.76,8.10E+00,-5.94E+00,7.63E-01
76.97,11.83173,7.68,2.00E+01,2.00E+00,-7.74E-01
9.40,30.21899,22.22,6.94E+01,-5.18E+00,1.28E+01
7.39,11.11975,9.91,2.09E+01,-6.24E+00,3.41E-01
8.21,13.04352,16.99,1.89E+01,6.15E+00,8.86E+00
7.48,21.34949,8.95,1.61E+01,2.34E+01,2.26E+01
20.88,32.11853,1.65,1.39E+01,-4.21E+00,7.16E+00
27.51,38.65234,13.11,5.12E+00,8.25E+00,1.36E+00
7.04,14.86053,8.42,1.67E+01,-5.55E+00,3.68E-01
5.91,18.84613,9.57,6.39E+00,-3.42E+00,1.55E-02
5.79,5.627869,-0.70,5.46E+00,-6.71E+00,5.12E+00
15.12,22.16309,5.45,1.39E+01,1.48E+01,1.59E+00
11.15,8.940552,4.38,1.50E+01,3.73E+01,1.71E+00
26.92,8.842834,10.16,1.25E+01,3.90E+01,5.63E+00
