2016,2017,2018,2019,2020,2021
22,20.5,27.4,24.4,24.7,19.2
22.4,25.2,20.1,31,30.8,22.2
22.9,24,22.2,31.5,30.6,21.4
22.2,16.6,19.4,24.8,30.1,22
120,16.6,29.5,26.6,26.5,23.9
48.4,19.3,33.6,28.6,19.5,30.1
33.8,18.2,35.7,29.1,20,21.7
37.8,21.6,30.1,42.9,18.2,14.1
29.2,35.1,27.5,27.3,29.5,14.7
29,29.6,30.8,21.7,35.7,19.2
23.6,22.5,25.6,27,21,29.7
23.5,15.7,31.4,31,19.2,26
26.5,28.7,40.3,31.3,17.7,23.3
86.1,29.7,30.3,28.5,14.9,20.5
82,24.6,33.2,38.9,15.8,19.2
27.9,20.2,23.1,112.2,15.9,15.5
21.8,22.5,24.3,30.6,21.4,25.3
24.2,20.4,32.1,31.2,25.1,23.7
33.4,19.6,29.9,24.5,35.4,24.1
18.6,24.5,31.5,32.3,33.8,41
22.6,28.3,28.9,28.1,25.5,35.2
33.5,31.7,29.5,21.6,19.7,21.2
24.8,32.5,33.4,28,20.6,21.2
19.6,35,22.9,27.8,21.8,23.3
19.3,35.1,21.9,28.6,30.5,14.6
29.2,38.9,24.1,27.7,23.9,13.3
27.2,29.9,26.1,19.9,27.2,14.2
26.4,32.9,50.3,19.2,18.8,10.5
33.9,43,22,19.1,27.3,11.7
19,48.8,16.6,22.8,26.1,16.3
20,44.6,20.1,37.7,26.8,21.1
16.4,31,19.2,26.5,28.3,16.8
22.3,25.1,27.2,27,27.2,23.9
18.1,29,30.2,22.5,28.7,27.4
20.2,42.4,34.7,23.2,30.5,35.2
26.8,43,25.1,25.8,25.1,22.4
24.7,28.1,18.6,32.6,21.9,27.7
25.2,31.3,22.7,34.2,39.1,22.2
34.7,27.4,25.1,23.5,31.5,23.4
23.3,29.5,29.8,34.1,37.2,23.4
23.6,30.6,27.2,24,39.1,25.7
16.8,33.7,24.4,18.6,26.4,21.9
21.5,30.2,19.1,21,26.7,17.6
21.6,27.4,17.6,67.5,25.2,32.4
28,29.9,22.5,35.1,26.8,28
31.3,31.5,19.8,26.7,34.4,13.5
22.1,20.3,20.5,18.4,43.1,29
21.9,28.5,22.6,21.3,30.2,18
17.4,31,30,22.8,20.6,17.1
20.5,14.4,33.3,20.3,22.7,27.2
16.9,15.6,27,25.6,23.5,98.2
17.1,16.2,51.1,25,24.6,66
17.8,16.6,19.3,26.8,40.5,85.2
22.2,22.5,17.1,25.5,27.2,85.4
22.5,28.6,21,28,21.1,38.7
24.7,31.2,30.6,34.4,26,27.7
25.4,21.8,19.2,22.9,39.7,52.4
19.2,24.3,20.1,21.5,43.3,48.2
17,24.6,22.2,19.6,16.6,88.8
16.2,38.3,26.3,20.8,12.4,35.8
22.1,34.5,28.4,26.3,19.8,28.7
34.4,36.3,31.6,18,18.5,32.9
31.1,23.4,38.2,13.2,19.1,26.7
