,Bscat,Time,Denuder
372,1.58E+01,11:00,Yes
373,4.54E+01,11:00,Yes
374,3.46E+00,11:00,Yes
375,3.64E+01,11:00,Yes
376,7.00E+00,11:00,Yes
377,3.11E+00,11:00,Yes
378,9.81E+00,11:00,Yes
379,1.35E+01,11:00,Yes
380,2.05E+01,11:00,Yes
381,5.26E+00,11:00,Yes
382,3.68E+00,11:00,Yes
383,1.67E+01,11:00,Yes
384,3.84E+01,11:00,Yes
385,1.39E+01,11:00,Yes
386,8.35E+01,11:00,Yes
387,1.83E+01,11:00,Yes
388,6.99E+00,11:00,Yes
389,1.86E+01,11:00,Yes
390,1.69E+00,11:00,Yes
391,4.57E+00,11:00,Yes
392,6.36E+00,11:00,Yes
393,1.36E+01,11:00,Yes
394,3.17E+00,11:00,Yes
395,1.55E+01,11:00,Yes
396,8.97E+00,11:00,Yes
397,1.48E+01,11:00,Yes
398,4.96E+01,11:00,Yes
399,1.43E+00,11:00,Yes
400,9.86E+00,11:00,Yes
401,8.62E+00,11:00,Yes
402,1.40E+01,11:00,Yes
403,1.96E+01,11:00,Yes
404,4.77E+01,11:00,Yes
405,3.13E+00,11:00,Yes
406,8.28E+00,11:00,Yes
407,1.40E+01,11:00,Yes
408,1.39E+01,11:00,Yes
409,4.12E+01,11:00,Yes
410,1.30E+01,11:00,Yes
411,-4.09E-01,11:00,Yes
412,4.37E+00,11:00,Yes
413,2.75E+01,11:00,Yes
414,7.25E+00,11:00,Yes
415,1.20E+01,11:00,Yes
416,4.84E+00,11:00,Yes
417,1.09E+01,11:00,Yes
418,2.11E+01,11:00,Yes
419,1.15E+01,11:00,Yes
420,1.26E+00,11:00,Yes
421,2.05E+01,11:00,Yes
422,2.23E+01,11:00,Yes
423,2.69E+01,11:00,Yes
424,1.27E+02,11:00,Yes
425,1.92E+01,11:00,Yes
426,8.35E+00,11:00,Yes
427,1.25E+01,11:00,Yes
428,6.34E+00,11:00,Yes
429,2.65E+01,11:00,Yes
430,1.64E+02,11:00,Yes
431,1.06E+01,11:00,Yes
432,1.65E+01,11:00,Yes
433,1.10E+01,11:00,Yes
434,1.34E+01,11:00,Yes
435,9.44E-01,11:00,Yes
436,8.45E+00,11:00,Yes
437,3.12E+01,11:00,Yes
438,3.16E+00,11:00,Yes
439,7.41E+01,11:00,Yes
440,1.95E+01,11:00,Yes
441,3.37E+00,11:00,Yes
442,2.43E+00,11:00,Yes
443,4.83E+00,11:00,Yes
444,1.70E+01,11:00,Yes
445,2.33E+00,11:00,Yes
446,2.07E+01,11:00,Yes
447,2.50E+01,11:00,Yes
448,5.96E+01,11:00,Yes
449,3.28E+01,11:00,Yes
450,1.11E+01,11:00,Yes
451,5.39E+00,11:00,Yes
452,3.30E+00,11:00,Yes
453,2.94E+01,11:00,Yes
454,1.25E+01,11:00,Yes
455,7.27E+00,11:00,Yes
456,2.52E+01,11:00,Yes
457,1.04E+01,11:00,Yes
458,9.48E-01,11:00,Yes
459,2.88E+00,11:00,Yes
460,6.88E+00,11:00,Yes
461,1.13E+00,11:00,Yes
462,4.38E+00,11:00,Yes
463,2.47E+01,11:00,Yes
464,2.11E+01,11:00,Yes
465,1.68E+01,11:00,Yes
466,5.38E+01,11:00,Yes
467,1.71E+00,11:00,Yes
468,6.41E+00,11:00,Yes
469,9.57E+00,11:00,Yes
470,3.99E+00,11:00,Yes
471,2.31E+01,11:00,Yes
472,4.66E+00,11:00,Yes
473,1.37E+00,11:00,Yes
474,2.92E+00,11:00,Yes
475,1.20E+02,11:00,Yes
476,1.43E+01,11:00,Yes
477,1.30E+01,11:00,Yes
478,4.00E+01,11:00,Yes
479,2.70E+01,11:00,Yes
480,1.94E+01,11:00,Yes
481,8.01E+00,11:00,Yes
482,3.73E+00,11:00,Yes
483,1.60E+01,11:00,Yes
484,9.12E+00,11:00,Yes
485,1.27E+01,11:00,Yes
486,1.70E+01,11:00,Yes
487,3.57E+00,11:00,Yes
488,6.93E+00,11:00,Yes
489,3.01E+00,11:00,Yes
490,5.40E+00,11:00,Yes
491,5.89E+00,11:00,Yes
492,2.34E+00,11:00,Yes
493,2.54E+01,11:00,Yes
494,4.16E+01,11:00,Yes
495,1.99E+01,11:00,Yes
496,2.88E+01,11:00,Yes
497,1.59E+01,11:00,Yes
498,9.01E+00,11:00,Yes
499,1.29E+01,11:00,Yes
500,1.78E+01,11:00,Yes
501,5.86E+00,11:00,Yes
502,6.66E+00,11:00,Yes
503,4.21E+00,11:00,Yes
504,1.25E+00,11:00,Yes
505,8.57E+00,11:00,Yes
506,3.54E+00,11:00,Yes
507,3.00E+00,11:00,Yes
508,1.23E+01,11:00,Yes
509,9.77E+00,11:00,Yes
510,2.68E+00,11:00,Yes
511,8.11E+00,11:00,Yes
512,2.11E+01,11:00,Yes
513,5.51E+00,11:00,Yes
514,1.19E+01,11:00,Yes
515,3.31E+01,11:00,Yes
516,4.48E+01,11:00,Yes
517,9.82E+00,11:00,Yes
518,3.31E+00,11:00,Yes
519,1.65E+01,11:00,Yes
