Qext,Qscat,Qabs
2.943251334,1.392512746,1.550738588
2.943062346,1.393344186,1.549718159
2.942865745,1.394166527,1.548699218
2.942661738,1.394979794,1.547681944
2.942450531,1.395784014,1.546666517
2.942232332,1.396579218,1.545653114
2.942007349,1.39736544,1.544641908
2.94177579,1.398142718,1.543633072
2.941537865,1.39891109,1.542626775
2.941293784,1.3996706,1.541623185
2.941043756,1.400421292,1.540622464
2.940787991,1.401163214,1.539624776
2.940526698,1.401896419,1.53863028
2.940260088,1.402620957,1.53763913
2.939988369,1.403336887,1.536651482
2.93971175,1.404044266,1.535667484
2.939430439,1.404743155,1.534687284
2.939144645,1.405433617,1.533711027
2.938854573,1.40611572,1.532738854
2.938560431,1.406789529,1.531770901
2.938262422,1.407455117,1.530807305
2.937960751,1.408112555,1.529848196
2.93765562,1.408761919,1.528893702
2.937347232,1.409403284,1.527943947
2.937035785,1.410036731,1.526999054
2.936721478,1.41066234,1.526059138
2.936404509,1.411280193,1.525124315
2.936085072,1.411890376,1.524194695
2.93576336,1.412492975,1.523270385
2.935439566,1.413088078,1.522351488
2.935113878,1.413675775,1.521438103
2.934786484,1.414256157,1.520530327
2.934457569,1.414829318,1.519628251
2.934127317,1.415395352,1.518731965
2.933795907,1.415954355,1.517841552
2.933463518,1.416506424,1.516957094
2.933130326,1.417051658,1.516078668
2.932796504,1.417590158,1.515206347
2.932462222,1.418122023,1.514340199
2.932127649,1.418647356,1.513480292
2.931792948,1.419166261,1.512626687
2.931458283,1.419678842,1.511779441
2.931123812,1.420185203,1.510938609
2.930789692,1.420685451,1.510104241
2.930456075,1.421179693,1.509276383
2.930123112,1.421668035,1.508455077
2.92979095,1.422150588,1.507640363
2.929459732,1.422627458,1.506832274
2.929129599,1.423098756,1.506030843
2.928800687,1.423564591,1.505236096
2.928473131,1.424025074,1.504448056
2.92814706,1.424480316,1.503666744
2.927822601,1.424930427,1.502892174
2.927499878,1.425375518,1.502124359
2.927179009,1.425815701,1.501363308
2.926860112,1.426251088,1.500609024
2.926543298,1.426681789,1.499861509
2.926228676,1.427107917,1.499120759
2.925916352,1.427529582,1.49838677
2.925606427,1.427946897,1.49765953
2.925298998,1.428359972,1.496939026
2.924994159,1.428768918,1.496225241
2.924692001,1.429173846,1.495518155
2.924392609,1.429574866,1.494817743
2.924096066,1.429972087,1.494123979
2.923802452,1.43036562,1.493436831
2.923511839,1.430755574,1.492756266
2.9232243,1.431142056,1.492082245
2.922939902,1.431525173,1.491414729
2.922658707,1.431905034,1.490753673
2.922380775,1.432281744,1.490099031
2.922106162,1.43265541,1.489450753
2.921834919,1.433026134,1.488808785
2.921567093,1.433394022,1.488173072
2.921302729,1.433759175,1.487543554
2.921041867,1.434121696,1.48692017
2.920784542,1.434481686,1.486302856
2.920530787,1.434839244,1.485691543
2.920280631,1.43519447,1.485086162
2.920034099,1.435547459,1.48448664
2.919791211,1.435898309,1.483892901
2.919551984,1.436247115,1.483304869
2.919316432,1.43659397,1.482722463
2.919084565,1.436938966,1.482145599
2.91885639,1.437282195,1.481574195
2.918631907,1.437623746,1.481008161
2.918411117,1.437963708,1.480447409
2.918194015,1.438302166,1.479891849
2.917980592,1.438639207,1.479341385
2.917770836,1.438974913,1.478795924
2.917564734,1.439309367,1.478255367
2.917362265,1.439642649,1.477719616
2.917163408,1.439974837,1.477188571
2.916968137,1.44030601,1.476662128
2.916776425,1.440636241,1.476140184
2.916588239,1.440965605,1.475622633
2.916403544,1.441294174,1.47510937
2.916222302,1.441622018,1.474600284
2.916044472,1.441949204,1.474095268
2.91587001,1.4422758,1.473594209
2.915698868,1.44260187,1.473096998
2.915530998,1.442927477,1.47260352
2.915366344,1.443252682,1.472113663
2.915204853,1.443577543,1.471627311
2.915046466,1.443902117,1.471144349
2.914891121,1.44422646,1.470664661
2.914738756,1.444550626,1.47018813
2.914589304,1.444874664,1.46971464
2.914442696,1.445198624,1.469244072
2.914298862,1.445522554,1.468776308
2.914157729,1.445846499,1.46831123
2.914019221,1.446170502,1.467848719
2.913883261,1.446494605,1.467388657
2.913749769,1.446818846,1.466930923
2.913618664,1.447143263,1.466475401
2.913489861,1.447467891,1.46602197
2.913363276,1.447792764,1.465570512
2.913238822,1.448117913,1.465120909
2.91311641,1.448443367,1.464673042
2.912995949,1.448769154,1.464226795
2.912877347,1.449095298,1.463782049
2.912760511,1.449421824,1.463338688
2.912645347,1.449748752,1.462896595
2.912531758,1.450076102,1.462455657
2.912419648,1.450403891,1.462015757
2.912308917,1.450732135,1.461576781
2.912199466,1.451060848,1.461138618
2.912091196,1.451390041,1.460701155
2.911984005,1.451719723,1.460264281
2.91187779,1.452049903,1.459827887
2.91177245,1.452380587,1.459391863
2.911667881,1.452711779,1.458956102
2.91156398,1.453043481,1.458520499
2.911460641,1.453375694,1.458084947
2.911357761,1.453708416,1.457649345
2.911255234,1.454041645,1.457213589
2.911152956,1.454375375,1.45677758
2.91105082,1.454709601,1.45634122
2.910948723,1.455044313,1.45590441
2.910846558,1.455379503,1.455467055
2.910744221,1.455715159,1.455029062
2.910641606,1.456051267,1.454590339
2.910538609,1.456387814,1.454150795
2.910435126,1.456724782,1.453710343
2.910331052,1.457062155,1.453268897
2.910226285,1.457399913,1.452826372
2.910120721,1.457738035,1.452382686
2.910014259,1.4580765,1.451937759
2.909906797,1.458415283,1.451491514
2.909798234,1.458754361,1.451043873
2.909688471,1.459093708,1.450594764
2.909577409,1.459433295,1.450144115
2.909464951,1.459773094,1.449691856
2.909350999,1.460113076,1.449237922
2.909235458,1.46045321,1.448782247
2.909118233,1.460793464,1.448324769
2.908999232,1.461133804,1.447865428
2.908878363,1.461474197,1.447404167
2.908755536,1.461814606,1.446940929
