Cext,Cscat,Cabs
746.7552818,5.677289634,741.0779922
786.0297891,6.271703986,779.7580851
826.7257411,6.917201097,819.80854
868.8740752,7.617245055,861.2568301
912.5061143,8.375474065,904.1306402
957.6535736,9.195706209,948.4578674
1004.348567,10.08194529,994.2666218
1052.623614,11.03838678,1041.585227
1102.511646,12.06942383,1090.442222
1154.046012,13.17965337,1140.866359
1207.260487,14.37388233,1192.886605
1262.189276,15.65713387,1246.532142
1318.867021,17.03465373,1301.832367
1377.328808,18.51191672,1358.816891
1437.610172,20.09463311,1417.515539
1499.747105,21.78875533,1477.95835
1563.77606,23.60048449,1540.175575
1629.733955,25.53627722,1604.197678
1697.658185,27.60285234,1670.055333
1767.586622,29.80719779,1737.779424
1839.55762,32.15657747,1807.401043
1913.610028,34.65853826,1878.951489
1989.783185,37.32091699,1952.462268
2068.116932,40.15184755,2027.965085
2148.651617,43.15976799,2105.491849
2231.428096,46.35342767,2185.074669
2316.487741,49.74189449,2266.745847
2403.872443,53.33456211,2350.537881
2493.624616,57.14115725,2436.483459
2585.787204,61.17174697,2524.615457
2680.403683,65.43674599,2614.966937
2777.518063,69.94692406,2707.571139
2877.174896,74.71341331,2802.461483
2979.419276,79.74771562,2899.671561
3084.296845,85.06171,2999.235135
3191.853792,90.66765994,3101.186132
3302.136861,96.57822084,3205.55864
3415.193349,102.8064473,3312.386902
3531.071112,109.3658004,3421.705312
3649.818564,116.2701552,3533.548408
3771.484679,123.5338079,3647.950871
3896.118997,131.171483,3764.947514
4023.771619,139.1983407,3884.573278
4154.493212,147.6299839,4006.863228
4288.335008,156.4824651,4131.852543
4425.348805,165.7722939,4259.576511
4565.586967,175.5164436,4390.070524
4709.102424,185.7323581,4523.370066
4855.948668,196.4379587,4659.51071
5006.179759,207.6516506,4798.528108
5159.850315,219.3923298,4940.457985
5317.015518,231.6793894,5085.336128
5477.731106,244.5327257,5233.19838
5642.053375,257.9727446,5384.08063
5810.039171,272.0203675,5538.018804
5981.745894,286.6970373,5695.048856
6157.231485,302.024724,5855.206761
6336.554429,318.0259304,6018.528498
6519.773747,334.7236972,6185.05005
6706.948994,352.1416081,6354.807386
6898.140247,370.3037951,6527.836452
7093.408107,389.234943,6704.173164
7292.813686,408.9602937,6883.853393
7496.418604,429.5056509,7066.912953
7704.284979,450.8973836,7253.387595
7916.475419,473.1624301,7443.312989
8133.053017,496.3283013,7636.724716
8354.081337,520.4230842,7833.658253
8579.624407,545.4754441,8034.148963
8809.746709,571.5146279,8238.232081
